,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
240,1,621.0,Found,1991,27.50111,4.09861,Iron IAB,Achondrite,Iron,11
369,1,3956.0,Found,1962,35.05,-107.56667,Main Group,Achondrite,Stony-Iron,13
370,1,217700.0,Found,1981,29.31667,-100.96667,Iron IIIAB,Achondrite,Iron,15
375,1,180000.0,Found,1881,38.7,-96.1,Main Group,Achondrite,Stony-Iron,1
384,1,582000.0,Found,1952,44.86667,95.41667,Iron IAB,Achondrite,Iron,2
387,1,43000.0,Found,1942,64.88333,-163.16667,Iron IIIAB,Achondrite,Iron,8
389,1,49000.0,Found,1938,-28.91667,-66.95,Iron IIIAB,Achondrite,Iron,2
410,1,52600.0,Found,1909,30.7,-105.5,Main Group,Achondrite,Stony-Iron,13
412,1,80650.0,Found,1907,42.6,-99.8,Iron IIAB,Achondrite,Iron,2
413,1,1000.0,Fell,1974,16.39806,-9.57028,Diogenite,Achondrite,Stony,2
423,1,50000.0,Fell,1981,39.91667,42.81667,Iron IVA,Achondrite,Iron,11
441,1,37500.0,Found,1959,42.33333,93.0,Iron IIIAB,Achondrite,Iron,14
444,1,37600.0,Found,1915,41.5,-104.1,Main Group,Achondrite,Stony-Iron,1
446,1,12280.0,Found,1966,46.83333,-117.25,Iron IVA,Achondrite,Iron,2
448,1,11000.0,Found,1985,28.83333,-105.86667,Iron IIIAB,Achondrite,Iron,13
453,1,192.0,Found,1875,35.75,-81.25,Iron IAB,Achondrite,Iron,1
456,1,1280.0,Found,1959,-27.08333,-70.58333,Iron IAB,Achondrite,Iron,13
457,1,500.0,Found,1960,19.83333,54.08333,Iron IIIAB,Achondrite,Iron,14
459,1,4100.0,Found,1887,44.65,-87.46667,Iron IAB,Achondrite,Iron,0
460,1,20000.0,Found,1931,-23.33333,134.11667,Iron,Achondrite,Iron,2
463,1,1200000.0,Found,1973,20.6,44.88333,Iron IIAB,Achondrite,Iron,2
470,1,4000.0,Found,1898,49.76667,18.25,Iron IID,Achondrite,Iron,1
472,1,21500.0,Found,1932,40.56667,-110.48333,Iron IVA,Achondrite,Iron,8
473,1,17500.0,Found,1976,43.32222,-96.28889,Iron IVA,Achondrite,Iron,1
477,1,1.2,Found,1889,20.58333,-104.06667,Iron,Achondrite,Iron,16
484,1,14800.0,Found,1916,44.25,-88.25,Iron IIIAB,Achondrite,Iron,1
486,1,1500.0,Fell,1869,-22.96667,-44.31667,Angrite,Achondrite,Stony,2
489,1,13500.0,Found,1916,52.33333,-104.86667,Iron IAB,Achondrite,Iron,1
490,1,1108.0,Found,1961,45.2,-93.43333,Iron IAB,Achondrite,Iron,1
492,1,11090.0,Found,1970,-21.65972,140.90694,Iron,Achondrite,Iron,2
498,1,85000.0,Found,1889,17.7,-97.0,Iron IIIAB,Achondrite,Iron,12
502,1,54600.0,Found,1969,53.3,126.11667,Iron IIIAB,Achondrite,Iron,8
512,1,84.0,Found,1940,37.26667,-97.76667,Main Group,Achondrite,Stony-Iron,1
513,1,683000.0,Found,1896,30.33333,-109.98333,Iron IC,Achondrite,Iron,15
514,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
515,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
516,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
517,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
518,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
519,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
520,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
521,1,8940.0,Found,1894,44.6,-94.1,Iron IIE,Achondrite,Iron,1
522,1,18100.0,Found,1908,-23.33333,134.66667,Iron IID,Achondrite,Iron,13
523,1,28000000.0,Found,1898,47.0,88.0,Iron IIIE,Achondrite,Iron,13
526,1,462.0,Found,1955,20.6,52.5,Iron,Achondrite,Iron,14
534,1,800.0,Found,1839,35.58333,-82.53333,Iron IIIAB,Achondrite,Iron,11
535,1,27000.0,Found,1901,35.25,-112.5,Iron IAB,Achondrite,Iron,13
542,1,12000.0,Found,1955,23.98611,32.62361,Iron IAB,Achondrite,Iron,14
552,1,3630.0,Found,1867,32.63333,-85.5,Iron IIG,Achondrite,Iron,12
553,1,76000.0,Found,1858,38.16667,-79.08333,Iron IIIAB,Achondrite,Iron,11
554,1,400000.0,Found,1890,48.06667,35.08333,Iron IIIAB,Achondrite,Iron,1
561,1,1230.0,Fell,1908,46.0,13.5,Iron IIAB,Achondrite,Iron,1
563,1,37850.0,Found,1966,-30.85,122.31667,Iron IIIAB,Achondrite,Iron,2
569,1,136000.0,Found,1876,36.3,-82.88333,Iron,Achondrite,Iron,11
570,1,6400.0,Found,1842,36.3,-82.88333,Iron,Achondrite,Iron,11
573,1,22000000.0,Found,1863,26.2,-107.83333,Iron,Achondrite,Iron,12
574,1,2200.0,Found,1959,34.613317,-113.398967,Iron IIIAB,Achondrite,Iron,13
575,1,48000.0,Found,1904,44.31667,9.98333,Iron IIIAB,Achondrite,Iron,1
576,1,10322.0,Fell,1934,28.48333,78.5,Iron IAB,Achondrite,Iron,1
578,1,3200.0,Found,1891,41.28333,-77.05,Iron IIIAB,Achondrite,Iron,10
581,1,2400.0,Found,1962,-22.75,120.83333,Iron IAB,Achondrite,Iron,14
583,1,15.0,Found,1867,-37.57083,143.82533,Iron IAB,Achondrite,Iron,1
584,1,1250.0,Found,1927,31.76667,-99.98333,Iron IAB,Achondrite,Iron,15
585,1,42200.0,Found,1892,-27.7,115.76667,Iron IIC,Achondrite,Iron,13
586,1,41000.0,Found,1974,-7.53133,-46.04117,Iron IIIAB,Achondrite,Iron,2
587,1,16700.0,Fell,1993,16.66667,101.18333,Iron,Achondrite,Iron,11
592,1,22000.0,Found,1932,-23.3,-69.88333,Iron IIIAB,Achondrite,Iron,13
593,1,9026.0,Found,1918,-21.21667,-43.93333,Iron,Achondrite,Iron,2
594,1,860.0,Found,1960,45.05778,9.19556,Iron,Achondrite,Iron,1
597,1,87.0,Found,1950,46.1,12.35,Main Group,Achondrite,Stony-Iron,8
598,1,3200.0,Fell,1842,42.38333,-2.5,Mesosiderite,Achondrite,Stony-Iron,2
602,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
603,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
604,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
605,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
606,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
607,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
608,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
609,1,12000.0,Found,1855,-28.08333,-69.33333,Iron IIE,Achondrite,Iron,13
612,1,8590.0,Found,1938,30.83333,-97.5,Iron IIIAB,Achondrite,Iron,1
623,1,80000.0,Found,1994,-33.0,-56.0,Iron IAB,Achondrite,Iron,11
625,1,227000.0,Found,1866,39.6,-105.3,Iron IIIAB,Achondrite,Iron,1
626,1,48500.0,Found,1931,44.5,-104.2,Iron IIIAB,Achondrite,Iron,13
637,1,33000.0,Found,1888,24.9,-105.4,Iron IIIAB,Achondrite,Iron,15
640,1,38000.0,Found,1955,-28.08333,24.08333,Iron IIG,Achondrite,Iron,2
646,1,367.0,Found,1979,25.33333,83.0,Iron,Achondrite,Iron,1
648,1,5360000.0,Found,1784,-10.11667,-39.2,Iron IC,Achondrite,Iron,16
650,1,16380.0,Found,1970,41.0,-97.53333,Iron IIIAB,Achondrite,Iron,1
655,1,89000.0,Found,1934,43.5,-101.25,Iron IIAB,Achondrite,Iron,2
678,1,24500.0,Found,1903,37.06667,-93.55,Iron IIIAB,Achondrite,Iron,11
680,1,5400.0,Found,1912,-34.31667,149.38333,Eucrite,Achondrite,Stony,2
681,1,10841.0,Found,1880,-29.88333,150.56667,Iron IIAB,Achondrite,Iron,2
683,1,11300.0,Found,1981,-34.225,146.38167,Iron IIIF,Achondrite,Iron,2
687,1,48250.0,Found,1888,51.95,62.2,Iron IAB,Achondrite,Iron,2
688,1,8600.0,Found,1912,38.0,-108.5,Iron IVA,Achondrite,Iron,9
692,1,1500000.0,Found,1805,49.96667,6.53333,Iron IAB,Achondrite,Iron,2
696,1,800.0,Found,1839,35.58333,-82.35,Iron IAB,Achondrite,Iron,11
706,1,1400.0,Found,1890,-41.18333,148.03333,Iron,Achondrite,Iron,12
707,1,9540.0,Found,1946,35.26667,-107.96667,Iron IIIAB,Achondrite,Iron,13
718,1,367.0,Found,1986,-26.92383,-49.05883,Iron IVA,Achondrite,Iron,1
721,1,64000.0,Found,1965,-17.16667,-43.83333,Iron,Achondrite,Iron,2
723,1,15900.0,Found,1907,57.85,114.2,Iron IVA,Achondrite,Iron,8
726,1,8800.0,Fell,1962,12.5,0.7,Iron IAB,Achondrite,Iron,15
727,1,256000.0,Fell,1916,44.55,131.63333,Iron IIAB,Achondrite,Iron,9
728,1,59000.0,Found,1829,49.05,13.76667,Iron IAB,Achondrite,Iron,10
731,1,888600.0,Found,1956,13.51667,122.45,Mesosiderite,Achondrite,Stony-Iron,1
735,1,2000.0,Found,1900,-31.15,149.11667,Iron IVA,Achondrite,Iron,2
744,1,500.0,Found,1850,37.5,-79.75,Iron,Achondrite,Iron,11
753,1,500000.0,Found,1937,-22.61667,135.2,Iron IIIAB,Achondrite,Iron,2
754,1,202.9,Found,1974,-31.3,138.38333,Brachinite,Achondrite,Stony,2
757,1,823000.0,Found,1810,52.5,30.33333,Main Group,Achondrite,Stony-Iron,10
758,1,138300.0,Found,1978,41.15333,-96.955,Iron IIIAB,Achondrite,Iron,1
760,1,39000.0,Fell,1847,50.6,16.3,Iron IIAB,Achondrite,Iron,10
763,1,4300000.0,Found,1882,37.5825,-99.16361,Main Group,Achondrite,Stony-Iron,2
765,1,13600.0,Found,1890,35.71667,-81.86667,Iron IID,Achondrite,Iron,11
767,1,2230.0,Found,1949,40.66667,-104.31667,Iron IIIAB,Achondrite,Iron,1
769,1,20000.0,Found,1937,36.56667,-82.18333,Iron IVA,Achondrite,Iron,11
770,1,544.0,Found,1910,-30.58333,23.55,Iron IAB,Achondrite,Iron,2
780,1,1626.0,Found,1960,33.21667,-102.18333,Iron IID,Achondrite,Iron,2
783,1,13000.0,Found,1931,52.26667,-105.35,Iron IIAB,Achondrite,Iron,1
785,1,100000.0,Found,1962,50.56667,114.9,Mesosiderite,Achondrite,Stony-Iron,13
786,1,113600.0,Found,1969,29.8,-107.55,Iron IIIAB,Achondrite,Iron,15
788,1,357.0,Fell,1942,10.01667,9.58333,Howardite,Achondrite,Stony,2
789,1,290000.0,Found,1997,3.98333,41.65,Iron IIIAB,Achondrite,Iron,11
791,1,24900.0,Found,1941,66.4,137.46667,Iron IAB,Achondrite,Iron,7
793,1,8400.0,Found,1913,32.03333,-99.25,Iron IAB,Achondrite,Iron,2
794,1,1825.0,Found,1983,63.8,149.0,Iron IAB,Achondrite,Iron,6
795,1,68000.0,Found,1819,42.75,-75.18333,Iron IIIE,Achondrite,Iron,10
802,1,3000.0,Found,1933,-30.0,20.0,Iron IVA,Achondrite,Iron,14
805,1,41000.0,Found,1874,38.3,-94.36667,Iron,Achondrite,Iron,1
808,1,48500.0,Fell,1886,35.5,-93.5,Iron IIIAB,Achondrite,Iron,12
810,1,41400.0,Found,1867,24.5,-104.8,Iron IIIAB,Achondrite,Iron,2
811,1,23500.0,Found,1916,-36.4,-59.5,Eucrite,Achondrite,Stony,2
812,1,2500.0,Found,1874,-25.0,-69.5,Iron IIIE,Achondrite,Iron,13
813,1,18000.0,Found,1987,35.0,-98.33333,Iron IAB,Achondrite,Iron,1
815,1,19.0,Found,1960,-26.45,120.36667,Lunar,Achondrite,Stony,2
818,1,7275.0,Found,1938,36.08333,-92.15,Iron IIAB,Achondrite,Iron,11
821,1,16300.0,Found,1818,43.2,-78.8,Iron,Achondrite,Iron,1
862,1,15400.0,Found,1929,37.36667,-85.36667,Iron IIIAB,Achondrite,Iron,11
863,1,41.0,Found,1879,-27.66667,-67.11667,Iron,Achondrite,Iron,13
864,1,50000000.0,Found,1575,-27.46667,-60.58333,Iron IAB,Achondrite,Iron,12
870,1,7030.0,Found,1894,34.2,-84.48333,Iron IIIAB,Achondrite,Iron,1
872,1,8600.0,Found,1875,40.9,-123.1,Iron IIIAB,Achondrite,Iron,11
873,1,30000000.0,Found,1891,35.05,-111.03333,Iron IAB,Achondrite,Iron,13
876,1,136000.0,Found,1793,-33.5,26.0,Iron IVB,Achondrite,Iron,0
877,1,113900.0,Found,1869,-45.28333,-70.48333,Iron IIIAB,Achondrite,Iron,13
880,1,454000.0,Found,1923,29.66667,-111.5,Iron IID,Achondrite,Iron,13
889,1,81200.0,Found,1887,31.91667,-98.03333,Iron IAB,Achondrite,Iron,12
893,1,127000.0,Found,1840,36.26667,-85.98333,Iron IIIAB,Achondrite,Iron,11
895,1,94000.0,Found,1935,32.0,-86.0,Iron IIAB,Achondrite,Iron,12
896,1,1545000.0,Found,1867,30.4,-107.8,Iron IIIAB,Achondrite,Iron,13
897,1,723.0,Found,1877,37.25,-85.0,Iron IAB,Achondrite,Iron,11
900,1,25000.0,Found,1947,-22.46667,-42.21667,Iron IIIAB,Achondrite,Iron,17
904,1,10.0,Found,1899,-41.5,145.41667,Iron,Achondrite,Iron,12
913,1,11300.0,Found,1898,34.01667,-85.26667,Iron IIAB,Achondrite,Iron,1
918,1,20600.0,Found,1997,-22.21667,-68.90833,Iron IIIF,Achondrite,Iron,11
