,x_axis,water_pdf,cultivated_pdf,pasture_pdf,tundra_pdf,wooded_tundra_pdf,boreal_forest_pdf,conifer_forest_pdf,temperate_mixed_forest_pdf,temperate_decidous_forest_pdf,grasssland_pdf,desert_pdf,savanna_pdf,tropical_wooded_pdf,tropical_forest_pdf
0,0.0,8.33633164492255e-06,6.120328644606271e-07,1.9516130448672885e-07,4.926539731245521e-06,1.0322278847188413e-05,3.0460634116574613e-06,7.760554462930985e-08,3.0482073092721822e-06,5.896892924071049e-06,1.7503226760877356e-07,2.347375870017836e-07,5.564761637085274e-07,2.474312350390633e-05,3.502079549443914e-05
1,1000.0,8.39906179250845e-06,6.121160307972491e-07,1.9516852053611317e-07,4.972964656428382e-06,1.2466731140325917e-05,3.055230129979716e-06,7.760904204099644e-08,3.056103750640878e-06,5.903188521878075e-06,1.7504058829346862e-07,2.347491340620502e-07,5.565956768863131e-07,2.8623774420193967e-05,3.729026867027644e-05
2,2000.0,8.458092240053726e-06,6.121977561201726e-07,1.951756898763209e-07,5.018688368449422e-06,1.486393850664854e-05,3.064219365417259e-06,7.761253651954057e-08,3.0638218219485245e-06,5.90819167407673e-06,1.750488752830507e-07,2.3476059984273361e-07,5.567141069278333e-07,3.257583582733284e-05,3.925003917636814e-05
3,3000.0,8.513338578902087e-06,6.122780398492255e-07,1.9518281250218507e-07,5.063683580775323e-06,1.7495223956757257e-05,3.073029390896817e-06,7.761602806453183e-08,3.0713600698040357e-06,5.911899084516096e-06,1.7505712857269668e-07,2.3477198433186875e-07,5.568314531308208e-07,3.647207933202672e-05,4.083755696843853e-05
4,4000.0,8.564721443383488e-06,6.123568814144189e-07,1.951898884085722e-07,5.107923257120948e-06,2.0328690903284476e-05,3.0816585103515527e-06,7.76195166755602e-08,3.0787170722431225e-06,5.9143083094975106e-06,1.7506534815760293e-07,2.3478328751757504e-07,5.569477147993367e-07,4.017184416841526e-05,4.200050272207352e-05
5,5000.0,8.61216670074267e-06,6.124342802559548e-07,1.9519691759038235e-07,5.151380638332785e-06,2.3318661525388294e-05,3.090105059264856e-06,7.762300235221591e-08,3.0858914391751545e-06,5.915417760458924e-06,1.750735340329853e-07,2.3479450938805636e-07,5.570628912437768e-07,4.352906153549527e-05,4.269964856696163e-05
6,6000.0,8.655605629324434e-06,6.125102358242314e-07,1.952039000425492e-07,5.194029269194623e-06,2.6405969943937558e-05,3.098367405205104e-06,7.762648509408958e-08,3.0928818128207425e-06,5.915226705720523e-06,1.7508168619407913e-07,2.348056499316011e-07,5.571769817808785e-07,4.64016183903134e-05,4.2911054711903874e-05
7,7000.0,8.694975084416283e-06,6.12584747579851e-07,1.9521083576004e-07,5.235843025118155e-06,2.9519223588077835e-05,3.106443948351159e-06,7.762996490077215e-08,3.0996868681398726e-06,5.913735271288892e-06,1.7508980463613918e-07,2.348167091365821e-07,5.572899857337277e-07,4.866124782019394e-05,4.262743043671354e-05
8,8000.0,8.73021765118836e-06,6.126578149936252e-07,1.9521772473785546e-07,5.2767961386810604e-06,3.257707114700387e-05,3.1143331220083586e-06,7.763344177185485e-08,3.106305313250375e-06,5.910944440718529e-06,1.750978893544397e-07,2.348276869914568e-07,5.574019024317655e-07,5.020299695266601e-05,4.18585515423118e-05
9,9000.0,8.761281784212171e-06,6.127294375465819e-07,1.9522456697102996e-07,5.316863225975026e-06,3.5491425422549974e-05,3.1220333931147732e-06,7.76369157069293e-08,3.1127358898365678e-06,5.906856054030875e-06,1.7510594034427453e-07,2.3483858348476707e-07,5.575127312107945e-07,5.095330225393753e-05,4.063070092381305e-05
10,10000.0,8.788121933083608e-06,6.127996147299713e-07,1.9523136245463138e-07,5.35601931272618e-06,3.817149307007981e-05,3.1295432627374975e-06,7.764038670558741e-08,3.1189773735478818e-06,5.901472805692564e-06,1.7511395760095687e-07,2.348493986051395e-07,5.576224714129856e-07,5.087580764595652e-05,3.898517691434784e-05
11,11000.0,8.810698653721729e-06,6.128683460452715e-07,1.9523811118376128e-07,5.3942398601504865e-06,4.052837147375287e-05,3.136861266558752e-06,7.764385476742148e-08,3.1250285743872883e-06,5.8947982416559675e-06,1.7512194111981945e-07,2.3486013234128517e-07,5.57731122386885e-07,4.997428473498285e-05,3.697598746637212e-05
12,12000.0,8.828978704962614e-06,6.129356310041952e-07,1.9524481315355475e-07,5.4315007905067494e-06,4.247989733648489e-05,3.1439859753515737e-06,7.764731989202407e-08,3.1308883370893665e-06,5.886836755466619e-06,1.7512989089621446e-07,2.348707846819998e-07,5.578386834874196e-07,4.82923285304352e-05,3.466690968687706e-05
13,13000.0,8.842935130117238e-06,6.130014691286945e-07,1.9525146835918047e-07,5.46777851231011e-06,4.3955382513074636e-05,3.150915995444883e-06,7.765078207898811e-08,3.1365555414878335e-06,5.877593583443467e-06,1.7513780692551375e-07,2.3488135561616362e-07,5.579451540759045e-07,4.590986283657266e-05,3.2128137795286976e-05
14,14000.0,8.8525473232132e-06,6.130658599509674e-07,1.9525807679584074e-07,5.503049945169184e-06,4.489985814822959e-05,3.1576499691777096e-06,7.765424132790688e-08,3.1420291028723788e-06,5.867074798939379e-06,1.7514568920310848e-07,2.3489184513274174e-07,5.580505335200482e-07,4.293684539271457e-05,2.9432764472066714e-05
15,15000.0,8.85780107969254e-06,6.131288030134631e-07,1.9526463845877145e-07,5.537292544210302e-06,4.52774723478917e-05,3.164186575342371e-06,7.765769763837396e-08,3.1473079723346416e-06,5.855287305690707e-06,1.7515353772440944e-07,2.349022532207837e-07,5.581548211939597e-07,3.9504863049206794e-05,2.6653339612793732e-05
16,16000.0,8.858688631390953e-06,6.131902978688871e-07,1.9527115334324213e-07,5.570484324052784e-06,4.507374869324967e-05,3.1705245296164086e-06,7.766115100998326e-08,3.152391137103176e-06,5.842238830266078e-06,1.751613524848469e-07,2.3491257986942388e-07,5.582580164781544e-07,3.5757510687977485e-05,2.3858728083227783e-05
