Group,Type,Clan,Class,Superclass
CI,Stony,Cl Clan,Carbonaceous,Chondrite
CM,Stony,CM-CO,Carbonaceous,Chondrite
CO,Stony,CM-CO,Carbonaceous,Chondrite
CV,Stony,CV-CK,Carbonaceous,Chondrite
CK,Stony,CV-CK,Carbonaceous,Chondrite
CR,Stony,CR-Clan,Carbonaceous,Chondrite
CH,Stony,CR-Clan,Carbonaceous,Chondrite
CB,Stony,CR-Clan,Carbonaceous,Chondrite
H,Stony,H-L-LL,Ordinary,Chondrite
L,Stony,H-L-LL,Ordinary,Chondrite
LL,Stony,H-L-LL,Ordinary,Chondrite
EH,Stony,EH-EL,Enstatite,Chondrite
EL,Stony,EH-EL,Enstatite,Chondrite
R,Stony,-,-,Chondrite
K,Stony,-,-,Chondrite
URE,Stony,-,-,Primitive Achondrite
BRA,Stony,-,-,Primitive Achondrite
ACA,Stony,ACA-LOD,-,Primitive Achondrite
LOD,Stony,ACA-LOD,-,Primitive Achondrite
WIN,Stony,WIN-IAB-IIICD,-,Primitive Achondrite
IAB,Iron,WIN-IAB-IIICD,-,Primitive Achondrite
IIICD,Iron,WIN-IAB-IIICD,-,Primitive Achondrite
ANG,Stony,-,-,Achondrite
AUB,Stony,-,-,Achondrite
EUC,Stony,Vesta?,-,Achondrite
DIO,Stony,Vesta?,-,Achondrite
HOW,Stony,Vesta?,-,Achondrite
MES,Stony-Iron,-,-,Achondrite
MG PAL,Stony-Iron,-,-,Achondrite
ES PAL,Stony-Iron,-,-,Achondrite
PP PAL,Stony-Iron,-,-,Achondrite
IC,Iron,-,-,Achondrite
IIAB,Iron,-,-,Achondrite
IIC,Iron,-,-,Achondrite
IID,Iron,-,-,Achondrite
IIE,Iron,-,-,Achondrite
IIIAB,Iron,-,-,Achondrite
IIIE,Iron,-,-,Achondrite
IIIF,Iron,-,-,Achondrite
IVA,Iron,-,-,Achondrite
IVB,Iron,-,-,Achondrite
Lunar,Stony,Moon,-,Achondrite
SHE,Stony,Mars,-,Achondrite
NAK,Stony,Mars,-,Achondrite
CHA,Stony,Mars,-,Achondrite
OPX,Stony,Mars,-,Achondrite
