group,group_name,Chondrite/Achondrite,type,L3,L4
UNK,Unknown,-,-,-,-
Stony,Stony,-,Stony,-,-
Iron,Iron,Achondrite,Iron,-,-
IC,Iron IC,Achondrite,Iron,Magmatic,Siderite
IIAB,Iron IIAB,Achondrite,Iron,Magmatic,Siderite
IIC,Iron IIC,Achondrite,Iron,Magmatic,Siderite
IID,Iron IID,Achondrite,Iron,Magmatic,Siderite
IIE,Iron IIE,Achondrite,Iron,Magmatic,Siderite
IIF,Iron IIF,Achondrite,Iron,Magmatic,Siderite
IIG,Iron IIG,Achondrite,Iron,Magmatic,Siderite
IIIAB,Iron IIIAB,Achondrite,Iron,Magmatic,Siderite
IIIE,Iron IIIE,Achondrite,Iron,Magmatic,Siderite
IIIF,Iron IIIF,Achondrite,Iron,Magmatic,Siderite
IVA,Iron IVA,Achondrite,Iron,Magmatic,Siderite
IVB,Iron IVB,Achondrite,Iron,Magmatic,Siderite
IAB,Iron IAB,Achondrite,Iron,Non-magmatic,Primative
IIE,Iron IIE,Achondrite,Iron,Non-magmatic,Primative
Achon,Achondrite,Achondrite,Stony,-,-
ANG,Angrite,Achondrite,Stony,Asteroidal,-
AUB,Aubrite,Achondrite,Stony,Asteroidal,-
DIO,Diogenite,Achondrite,Stony,Asteroidal,H-E-D Vesta
EUC,Eucrite,Achondrite,Stony,Asteroidal,H-E-D Vesta
HOW,Howardite,Achondrite,Stony,Asteroidal,H-E-D Vesta
OPX,Orthopyroxenite,Achondrite,Stony,Martian,-
CHA,Chassignite,Achondrite,Stony,Martian,SNC
NAK,Nakhilite,Achondrite,Stony,Martian,SNC
SHE,Shergottite,Achondrite,Stony,Martian,SNC
Lunar,Lunar,Achondrite,Stony,Moon,-
ACA,Acapulcoite,Achondrite,Stony,Primitive,-
LOD,Loderanite,Achondrite,Stony,Primitive,-
WIN,Winonaite,Achondrite,Stony,Primitive,-
BRA,Brachinite,Achondrite,Stony,Primitive or asteroidal,-
URE,Ureilite,Achondrite,Stony,Primitive or asteroidal,-
MES,Mesosiderite,Achondrite,Stony-Iron,Mesosiderite,-
ES PAL,Eagle Station Group,Achondrite,Stony-Iron,Pallasite,-
MG PAL,Main Group,Achondrite,Stony-Iron,Pallasite,-
PAL,Ungrouped,Achondrite,Stony-Iron,Pallasite,-
PP PAL,Pyroxene Pallasite,Achondrite,Stony-Iron,Pallasite,-
Chon,Chondrite,Chondrite,Stony,-,-
CI,CI,Chondrite,Stony,Carbonaceous,CI
CM,CM,Chondrite,Stony,Carbonaceous,CM-CO
CO,CO,Chondrite,Stony,Carbonaceous,CM-CO
CB,CB,Chondrite,Stony,Carbonaceous,CR
CH,CH,Chondrite,Stony,Carbonaceous,CR
CR,CR,Chondrite,Stony,Carbonaceous,CR
CK,CK,Chondrite,Stony,Carbonaceous,CV-CK
CV,CV,Chondrite,Stony,Carbonaceous,CV-CK
C,Chondrite,Chondrite,Stony,Carbonaceous,
E,EH or EL,Chondrite,Stony,Enstatite,EH-EL
EH,EH,Chondrite,Stony,Enstatite,EH-EL
EL,EL,Chondrite,Stony,Enstatite,EH-EL
HL,"H,L, or LL",Chondrite,Stony,Ordinary,-
H,H,Chondrite,Stony,Ordinary,H
L,L,Chondrite,Stony,Ordinary,L
LL,LL,Chondrite,Stony,Ordinary,LL
K,Kakangari,Chondrite,Stony,Other,Kakangari grouplet
R,Rumuruti,Chondrite,Stony,Other,Rumuruti
