"","name","id","nametype","recclass","mass_in_grams","fell_or_found","year","latitude","longitude","GeoLocation"
"1","Brunflo",5157,"Relict","Relict H",NA,"Found",1980,63.11667,14.28333,"(63.11667, 14.28333)"
"2","David Glacier 92308",6614,"Relict","Chondrite-fusion crust",1.7,"Found",1992,-75.31667,162,"(-75.31667, 162.0)"
"3","Gove",52859,"Relict","Relict iron",0,"Found",1979,-12.26333,136.83833,"(-12.26333, 136.83833)"
"4","Gullhögen 001",44889,"Relict","Relict OC",NA,"Found",2000,58.38333,13.8,"(58.38333, 13.8)"
"5","LaPaz Icefield 031037",35780,"Relict","Fusion crust",0.1,"Found",2003,NA,NA,""
"6","LaPaz Icefield 04531",34986,"Relict","Chondrite-fusion crust",0.01,"Found",2004,NA,NA,""
"7","LaPaz Icefield 04644",34999,"Relict","Chondrite-fusion crust",0.63,"Found",2004,NA,NA,""
"8","Lewis Cliff 87241",13702,"Relict","Chondrite-fusion crust",0.5,"Found",1987,-84.34563,161.31058,"(-84.34563, 161.31058)"
"9","Meteorite Hills 001139",45809,"Relict","Fusion crust",0.013,"Found",2000,-79.68333,159.75,"(-79.68333, 159.75)"
"10","Miller Range 05110",45810,"Relict","Fusion crust",0.1,"Found",2005,NA,NA,""
"11","Miller Range 05126",45811,"Relict","Fusion crust",0.1,"Found",2006,NA,NA,""
"12","Osterplana",18038,"Relict","Relict OC",NA,"Found",1987,58.58333,13.43333,"(58.58333, 13.43333)"
"13","Österplana 002",44802,"Relict","Relict OC",NA,"Found",1993,58.58333,13.43333,"(58.58333, 13.43333)"
"14","Österplana 003",44803,"Relict","Relict OC",NA,"Found",1993,58.58333,13.43333,"(58.58333, 13.43333)"
"15","Österplana 004",44804,"Relict","Relict OC",NA,"Found",1994,58.58333,13.43333,"(58.58333, 13.43333)"
"16","Österplana 005",44805,"Relict","Relict OC",NA,"Found",1990,58.58333,13.43333,"(58.58333, 13.43333)"
"17","Österplana 006",44806,"Relict","Relict OC",NA,"Found",NA,58.58333,13.43333,"(58.58333, 13.43333)"
"18","Österplana 007",44807,"Relict","Relict OC",NA,"Found",1993,58.58333,13.43333,"(58.58333, 13.43333)"
"19","Österplana 008",44808,"Relict","Relict OC",NA,"Found",1995,58.58333,13.43333,"(58.58333, 13.43333)"
