"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"1",1,"L5",21,"Fell",1880,50.775,6.08333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"2",2,"H6",720,"Fell",1951,56.18333,10.23333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3",4,"H5",331,"Found",1982,26.8,-105.41667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"4",5,"H3-6",21100,"Found",1951,36.3,-104.28333,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922
"5",6,"EH4",107000,"Fell",1952,54.21667,-113,"EH","Chondrite","Stony","Enstatite","EH-EL","1",0.297273742080897
"6",7,"L6",2914,"Found",1941,33.85,-101.8,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"7",8,"H",1.2,"Found",1840,60.43333,22.3,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"8",9,"H4",4500,"Found",1997,27.23944,29.83583,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"9",10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"Acapulcoite","Achondrite","Stony","Primitive",NA,"0",71.3451083182367
"10",11,"L6",6700,"Found",1989,27.5,3.61667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"11",12,"H5",228,"Found",1989,27.61667,3.85,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"12",13,"H5",145,"Found",1989,27.81667,4.03333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"13",14,"L6",1020,"Found",1989,27.58333,3.81667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"14",15,"H3.9/4",115,"Found",1989,27.6,3.83333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"15",16,"H3.9/4",561,"Found",1989,27.63333,3.96667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"16",17,"L5",542,"Found",1989,27.51667,3.65,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"17",18,"H5",205,"Found",1989,27.53333,3.7,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"18",19,"L6",127,"Found",1989,27.73333,4.08333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"19",20,"L6",276,"Found",1989,27.75,4.1,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"20",21,"H5",3800,"Found",1989,27.75,4.16667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"21",22,"H6",98,"Found",1989,27.8,4.16667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"22",23,"H5",490,"Found",1989,27.83333,4.28333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"23",24,"H5",307,"Found",1989,27.8,4.46667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"24",25,"L6",98,"Found",1989,27.78333,4.28333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"25",26,"H4-5",111,"Found",1989,27.71667,4.48333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"26",27,"L5",446,"Found",1989,27.73333,4.4,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"27",28,"H5",207,"Found",1989,27.7,4.08333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"28",29,"L6",581,"Found",1989,27.7,4.06667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"29",30,"H5",708,"Found",1989,27.7,4.06667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"30",31,"H6",2140,"Found",1989,27.55,3.61667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"31",32,"H3.7",192,"Found",1989,27.51667,3.83333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"32",33,"H3.8",118,"Found",1989,27.51667,3.91667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"33",34,"H5",1464,"Found",1989,27.55,3.93333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"34",35,"H5",920,"Found",1989,27.58333,3.96667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"35",36,"H5/6",88,"Found",1989,27.61667,4.05,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"36",37,"H5",206,"Found",1989,27.66667,4.2,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"37",38,"H3.8",3130,"Found",1989,27.66667,4.25,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"38",39,"H4",98,"Found",1989,27.68333,4.33333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"39",40,"LL6",123,"Found",1989,27.68333,4.41667,"LL","Chondrite","Stony","Ordinary","LL","14",0.498018659921233
"40",41,"H5",2016,"Found",1989,27.66667,4.35,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"41",42,"L6",495,"Found",1989,27.65,4.46667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"42",43,"L6",93,"Found",1989,27.65,4.43333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"43",44,"L6",184,"Found",1989,27.63333,4.35,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"44",45,"H6",36,"Found",1989,27.6,4.3,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"45",46,"L5/6",112,"Found",1989,27.58333,4.25,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"46",47,"LL4-6",385,"Found",1989,27.55,4.13333,"LL","Chondrite","Stony","Ordinary","LL","14",0.498018659921233
"47",48,"H5",962,"Found",1989,27.53333,4,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"48",49,"L3.8",225,"Found",1989,27.53333,3.91667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"49",50,"L5-6",146,"Found",1989,27.46667,3.78333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"50",51,"L/LL6",134,"Found",1989,27.43333,3.71667,"LL","Chondrite","Stony","Ordinary","LL","14",0.498018659921233
"51",52,"H5",246,"Found",1989,27.46667,3.83333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"52",53,"H4",120,"Found",1989,27.51667,3.91667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"53",54,"L6",195,"Found",1989,27.55,4,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"54",56,"H5",1066,"Found",1989,27.78333,4.7,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"55",57,"L4",1440,"Found",1989,27.83333,4.7,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"56",58,"H4-5",115,"Found",1989,27.55,4.08333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"57",59,"H5",82.9,"Found",1989,27.41667,3.71667,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"58",60,"H6",1394,"Found",1989,27.65,4.5,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"59",61,"L5",905,"Found",1989,27.61667,4.41667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"60",62,"L5",58,"Found",1989,27.75,4.15,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"61",63,"H6",1937,"Found",1989,27.73333,4.05,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"62",64,"H5",2051,"Found",1989,27.7,3.93333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"63",65,"H5",1338,"Found",1989,27.5,3.98333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233
"64",66,"L4",129,"Found",1989,27.46667,3.88333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
