"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"1",1,"L5",21,"Fell",1880,50.775,6.08333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"2",2,"H6",720,"Fell",1951,56.18333,10.23333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"5",6,"EH4",107000,"Fell",1952,54.21667,-113,"EH","Chondrite","Stony","Enstatite","EH-EL","1",0.297273742080897
"9",10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"Acapulcoite","Achondrite","Stony","Primitive",NA,"0",71.3451083182367
"367",370,"L6",780,"Fell",1902,-33.16667,-64.95,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"374",379,"EH4",4239,"Fell",1919,32.1,71.8,"EH","Chondrite","Stony","Enstatite","EH-EL","2",0.463225690897741
"385",390,"LL3-6",910,"Fell",1949,44.83333,95.16667,"LL","Chondrite","Stony","Ordinary","LL","2",0.463225690897741
"386",392,"H5",30000,"Fell",1814,44.21667,0.61667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"390",398,"L6",1620,"Fell",1930,-31.6,-65.23333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"409",417,"L",1440,"Fell",1920,-30.86667,-64.55,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"413",423,"Diogenite-pm",1000,"Fell",1974,16.39806,-9.57028,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"414",424,"L6",24000,"Fell",1925,19.08333,8.38333,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"415",425,"Unknown",367,"Fell",1769,50.66667,2.33333,"Unknown",NA,NA,NA,NA,"1",0.297273742080897
"416",426,"L6",779,"Fell",1949,29.51667,35.05,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233
"417",427,"H4",1800,"Fell",1838,29.71667,77.95,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"422",432,"H",3000,"Fell",1959,8.91667,8.43333,"H","Chondrite","Stony","Ordinary","H","16",1.82339952891488
"423",433,"Iron, IVA",50000,"Fell",1981,39.91667,42.81667,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","11",0.00485781484723708
"436",446,"CR2-an",160,"Fell",1957,24.41667,39.51667,"CR","Chondrite","Stony","Carbonaceous","CR","2",0.463225690897741
"437",447,"LL5",700,"Fell",2001,13.66033,28.96,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708
"438",448,"CI1",6000,"Fell",1806,44.11667,4.08333,"CI","Chondrite","Stony","Carbonaceous","CI","11",0.00485781484723708
"442",453,"L/LL4",2000,"Fell",1766,44.65,11.01667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"443",454,"L",625,"Fell",1949,2,22.66667,"L","Chondrite","Stony","Ordinary","L","18",10.7446597222222
"447",458,"Eucrite-mmict",252,"Fell",2002,45.82133,6.01533,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","11",0.00485781484723708
"450",461,"LL5",700,"Fell",1835,51.78333,-1.78333,"LL","Chondrite","Stony","Ordinary","LL","2",0.463225690897741
"451",462,"L6",3200,"Fell",1873,36.23333,37.13333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"452",463,"H5",908,"Fell",1860,44.88333,8.75,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"454",465,"H4",9251,"Fell",1900,50.95,31.81667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"455",466,"L6",228000,"Fell",1883,45.26667,10.15,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"464",2276,"H5",32000,"Fell",1899,42.53333,-85.88333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"466",2278,"CV3",2e+06,"Fell",1969,26.96667,-105.31667,"CV","Chondrite","Stony","Carbonaceous","CV-CK","2",0.463225690897741
"471",2284,"LL5",6000,"Fell",1977,35.27333,44.21556,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"475",2290,"H5",6400,"Fell",1895,27.66667,78.25,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"479",2294,"Stone-uncl",2700,"Fell",1880,26.58333,85.56667,"Stony",NA,"Stony",NA,NA,"1",0.297273742080897
"480",2295,"L6",3200,"Fell",1898,44.61667,-70.75,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"481",2296,"L3",600,"Fell",1969,48.7,37.5,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"483",2298,"H6",17900,"Fell",1939,20.88333,76.86667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"485",2301,"L6",367,"Fell",1822,47.46667,-0.55,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"486",2302,"Angrite",1500,"Fell",1869,-22.96667,-44.31667,"Angrite","Achondrite","Stony","Asteroidal",NA,"2",0.463225690897741
"487",2304,"H4",6500,"Fell",1942,9.53333,39.71667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"488",2305,"H5",2500,"Fell",1971,25.15,105.18333,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"495",2313,"L6",320,"Fell",1984,40.81056,140.78556,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"499",2318,"LL6",15000,"Fell",1914,53.58333,-2.71667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"500",2318,"LL6",15000,"Fell",1914,53.58333,-2.71667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"501",2318,"LL6",15000,"Fell",1914,53.58333,-2.71667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"503",2320,"L6",3200,"Fell",1803,43.86667,5.38333,"L","Chondrite","Stony","Ordinary","L","12",0.49799067553469
"506",2325,"H5",810,"Fell",1954,-33,-66,"H","Chondrite","Stony","Ordinary","H","15",0.406210536590808
"510",2329,"H6",5070,"Fell",1932,38.5,-94.3,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"528",2340,"H5",7450,"Fell",1950,-31.41667,-60.66667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"531",2345,"H6",41,"Fell",1805,42.45,9.03333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"532",2346,"L6",1300,"Fell",1923,52.05,0.3,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"533",2346,"L6",1300,"Fell",1923,52.05,0.3,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"540",2353,"H5",2000,"Fell",1886,43.03333,12.55,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"543",4883,"L4",1280,"Fell",1920,25.25417,80.625,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"544",4884,"L6",94.2,"Fell",1896,20.06667,-103.66667,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"545",4885,"LL6",265,"Fell",1933,34.75,-87,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"547",4888,"L6",1384.2,"Fell",1945,34.31667,-96.15,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"551",4893,"Aubrite",800,"Fell",1836,44.38333,5.16667,"Aubrite","Achondrite","Stony","Asteroidal",NA,"11",0.00485781484723708
"555",4899,"L6",50000,"Fell",1865,36.16667,3.66667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"556",4900,"L6",2000,"Fell",1842,44.33333,3.23333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"559",4903,"L5",50000,"Fell",1858,43.08333,0.58333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
