,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
2,0,720.0,Fell,1951,56.18333,10.23333,H,Chondrite,Stony,1
3,0,331.0,Found,1982,26.8,-105.41667,H,Chondrite,Stony,2
4,0,21100.0,Found,1951,36.3,-104.28333,H,Chondrite,Stony,13
5,0,107000.0,Fell,1952,54.21667,-113.0,EH,Chondrite,Stony,1
7,0,1.2,Found,1840,60.43333,22.3,H,Chondrite,Stony,1
11,0,228.0,Found,1989,27.61667,3.85,H,Chondrite,Stony,14
12,0,145.0,Found,1989,27.81667,4.03333,H,Chondrite,Stony,14
14,0,115.0,Found,1989,27.6,3.83333,H,Chondrite,Stony,14
15,0,561.0,Found,1989,27.63333,3.96667,H,Chondrite,Stony,14
17,0,205.0,Found,1989,27.53333,3.7,H,Chondrite,Stony,14
20,0,3800.0,Found,1989,27.75,4.16667,H,Chondrite,Stony,14
21,0,98.0,Found,1989,27.8,4.16667,H,Chondrite,Stony,14
22,0,490.0,Found,1989,27.83333,4.28333,H,Chondrite,Stony,14
23,0,307.0,Found,1989,27.8,4.46667,H,Chondrite,Stony,14
25,0,111.0,Found,1989,27.71667,4.48333,H,Chondrite,Stony,14
27,0,207.0,Found,1989,27.7,4.08333,H,Chondrite,Stony,14
29,0,708.0,Found,1989,27.7,4.06667,H,Chondrite,Stony,14
30,0,2140.0,Found,1989,27.55,3.61667,H,Chondrite,Stony,14
31,0,192.0,Found,1989,27.51667,3.83333,H,Chondrite,Stony,14
32,0,118.0,Found,1989,27.51667,3.91667,H,Chondrite,Stony,14
33,0,1464.0,Found,1989,27.55,3.93333,H,Chondrite,Stony,14
34,0,920.0,Found,1989,27.58333,3.96667,H,Chondrite,Stony,14
35,0,88.0,Found,1989,27.61667,4.05,H,Chondrite,Stony,14
36,0,206.0,Found,1989,27.66667,4.2,H,Chondrite,Stony,14
37,0,3130.0,Found,1989,27.66667,4.25,H,Chondrite,Stony,14
38,0,98.0,Found,1989,27.68333,4.33333,H,Chondrite,Stony,14
39,0,123.0,Found,1989,27.68333,4.41667,LL,Chondrite,Stony,14
40,0,2016.0,Found,1989,27.66667,4.35,H,Chondrite,Stony,14
44,0,36.0,Found,1989,27.6,4.3,H,Chondrite,Stony,14
46,0,385.0,Found,1989,27.55,4.13333,LL,Chondrite,Stony,14
47,0,962.0,Found,1989,27.53333,4.0,H,Chondrite,Stony,14
50,0,134.0,Found,1989,27.43333,3.71667,LL,Chondrite,Stony,14
51,0,246.0,Found,1989,27.46667,3.83333,H,Chondrite,Stony,14
54,0,1066.0,Found,1989,27.78333,4.7,H,Chondrite,Stony,14
56,0,115.0,Found,1989,27.55,4.08333,H,Chondrite,Stony,14
57,0,82.9,Found,1989,27.41667,3.71667,H,Chondrite,Stony,14
58,0,1394.0,Found,1989,27.65,4.5,H,Chondrite,Stony,14
61,0,1937.0,Found,1989,27.73333,4.05,H,Chondrite,Stony,14
62,0,2051.0,Found,1989,27.7,3.93333,H,Chondrite,Stony,14
63,0,1338.0,Found,1989,27.5,3.98333,H,Chondrite,Stony,14
