,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
1,0,21.0,Fell,1880,50.775,6.08333,L,Chondrite,Stony,11
2,0,720.0,Fell,1951,56.18333,10.23333,H,Chondrite,Stony,1
3,2,331.0,Found,1982,26.8,-105.41667,H,Chondrite,Stony,2
4,2,21100.0,Found,1951,36.3,-104.28333,H,Chondrite,Stony,13
5,0,107000.0,Fell,1952,54.21667,-113.0,EH,Chondrite,Stony,1
6,0,2914.0,Found,1941,33.85,-101.8,L,Chondrite,Stony,1
7,2,1.2,Found,1840,60.43333,22.3,H,Chondrite,Stony,1
8,5,4500.0,Found,1997,27.23944,29.83583,H,Chondrite,Stony,11
9,0,1914.0,Fell,1976,16.88333,-99.9,Acapulcoite,Achondrite,Stony,0
10,2,6700.0,Found,1989,27.5,3.61667,L,Chondrite,Stony,14
11,2,228.0,Found,1989,27.61667,3.85,H,Chondrite,Stony,14
12,2,145.0,Found,1989,27.81667,4.03333,H,Chondrite,Stony,14
13,2,1020.0,Found,1989,27.58333,3.81667,L,Chondrite,Stony,14
14,2,115.0,Found,1989,27.6,3.83333,H,Chondrite,Stony,14
15,2,561.0,Found,1989,27.63333,3.96667,H,Chondrite,Stony,14
16,2,542.0,Found,1989,27.51667,3.65,L,Chondrite,Stony,14
17,2,205.0,Found,1989,27.53333,3.7,H,Chondrite,Stony,14
18,2,127.0,Found,1989,27.73333,4.08333,L,Chondrite,Stony,14
19,2,276.0,Found,1989,27.75,4.1,L,Chondrite,Stony,14
20,2,3800.0,Found,1989,27.75,4.16667,H,Chondrite,Stony,14
21,2,98.0,Found,1989,27.8,4.16667,H,Chondrite,Stony,14
22,2,490.0,Found,1989,27.83333,4.28333,H,Chondrite,Stony,14
23,2,307.0,Found,1989,27.8,4.46667,H,Chondrite,Stony,14
24,2,98.0,Found,1989,27.78333,4.28333,L,Chondrite,Stony,14
25,2,111.0,Found,1989,27.71667,4.48333,H,Chondrite,Stony,14
26,2,446.0,Found,1989,27.73333,4.4,L,Chondrite,Stony,14
27,2,207.0,Found,1989,27.7,4.08333,H,Chondrite,Stony,14
28,2,581.0,Found,1989,27.7,4.06667,L,Chondrite,Stony,14
29,2,708.0,Found,1989,27.7,4.06667,H,Chondrite,Stony,14
30,2,2140.0,Found,1989,27.55,3.61667,H,Chondrite,Stony,14
31,2,192.0,Found,1989,27.51667,3.83333,H,Chondrite,Stony,14
32,2,118.0,Found,1989,27.51667,3.91667,H,Chondrite,Stony,14
33,2,1464.0,Found,1989,27.55,3.93333,H,Chondrite,Stony,14
34,2,920.0,Found,1989,27.58333,3.96667,H,Chondrite,Stony,14
35,2,88.0,Found,1989,27.61667,4.05,H,Chondrite,Stony,14
36,2,206.0,Found,1989,27.66667,4.2,H,Chondrite,Stony,14
37,2,3130.0,Found,1989,27.66667,4.25,H,Chondrite,Stony,14
38,2,98.0,Found,1989,27.68333,4.33333,H,Chondrite,Stony,14
39,2,123.0,Found,1989,27.68333,4.41667,LL,Chondrite,Stony,14
40,2,2016.0,Found,1989,27.66667,4.35,H,Chondrite,Stony,14
41,2,495.0,Found,1989,27.65,4.46667,L,Chondrite,Stony,14
42,2,93.0,Found,1989,27.65,4.43333,L,Chondrite,Stony,14
43,2,184.0,Found,1989,27.63333,4.35,L,Chondrite,Stony,14
44,2,36.0,Found,1989,27.6,4.3,H,Chondrite,Stony,14
45,2,112.0,Found,1989,27.58333,4.25,L,Chondrite,Stony,14
46,2,385.0,Found,1989,27.55,4.13333,LL,Chondrite,Stony,14
47,2,962.0,Found,1989,27.53333,4.0,H,Chondrite,Stony,14
48,2,225.0,Found,1989,27.53333,3.91667,L,Chondrite,Stony,14
49,2,146.0,Found,1989,27.46667,3.78333,L,Chondrite,Stony,14
50,2,134.0,Found,1989,27.43333,3.71667,LL,Chondrite,Stony,14
51,2,246.0,Found,1989,27.46667,3.83333,H,Chondrite,Stony,14
52,2,120.0,Found,1989,27.51667,3.91667,H,Chondrite,Stony,14
53,2,195.0,Found,1989,27.55,4.0,L,Chondrite,Stony,14
54,2,1066.0,Found,1989,27.78333,4.7,H,Chondrite,Stony,14
55,2,1440.0,Found,1989,27.83333,4.7,L,Chondrite,Stony,14
56,2,115.0,Found,1989,27.55,4.08333,H,Chondrite,Stony,14
57,2,82.9,Found,1989,27.41667,3.71667,H,Chondrite,Stony,14
58,2,1394.0,Found,1989,27.65,4.5,H,Chondrite,Stony,14
59,2,905.0,Found,1989,27.61667,4.41667,L,Chondrite,Stony,14
60,2,58.0,Found,1989,27.75,4.15,L,Chondrite,Stony,14
61,2,1937.0,Found,1989,27.73333,4.05,H,Chondrite,Stony,14
62,2,2051.0,Found,1989,27.7,3.93333,H,Chondrite,Stony,14
63,2,1338.0,Found,1989,27.5,3.98333,H,Chondrite,Stony,14
64,2,129.0,Found,1989,27.46667,3.88333,L,Chondrite,Stony,14
65,2,277.0,Found,1989,27.38333,3.71667,LL,Chondrite,Stony,14
66,2,281.0,Found,1989,27.51667,4.06667,CR,Chondrite,Stony,14
67,2,226.0,Found,1989,27.56667,4.16667,H,Chondrite,Stony,14
68,2,105.0,Found,1989,27.6,4.25,H,Chondrite,Stony,14
69,2,283.0,Found,1989,27.6,4.41667,H,Chondrite,Stony,14
70,1,716.0,Found,1989,27.61667,4.56667,Mesosiderite,Achondrite,Stony-Iron,14
71,2,854.0,Found,1989,27.61667,4.56667,L,Chondrite,Stony,14
72,2,1539.0,Found,1989,27.5,4.28333,H,Chondrite,Stony,14
73,3,517.0,Found,1990,27.63333,4.06667,LL,Chondrite,Stony,11
74,5,383.0,Found,1990,27.71667,4.78333,H,Chondrite,Stony,11
75,4,1805.0,Found,1990,27.55,3.7,L,Chondrite,Stony,11
76,4,941.0,Found,1990,27.53333,3.83333,L,Chondrite,Stony,11
77,5,138.0,Found,1990,27.68333,4.48333,H,Chondrite,Stony,11
78,4,1379.0,Found,1990,27.63333,4.28333,L,Chondrite,Stony,11
79,4,162.0,Found,1990,27.63333,4.25,L,Chondrite,Stony,11
80,5,2010.0,Found,1990,27.53333,3.85,H,Chondrite,Stony,11
81,3,384.0,Found,1990,27.48333,3.83333,L,Chondrite,Stony,11
82,5,1453.0,Found,1990,27.51667,3.73333,H,Chondrite,Stony,11
83,5,183.0,Found,1990,27.7,4.35,H,Chondrite,Stony,11
84,4,2538.0,Found,1990,27.63333,4.51667,L,Chondrite,Stony,11
85,5,105.0,Found,1990,27.56667,4.15,H,Chondrite,Stony,11
86,4,387.0,Found,1990,27.5,3.68333,L,Chondrite,Stony,11
87,4,574.0,Found,1990,27.63333,4.51667,L,Chondrite,Stony,11
88,3,110.0,Found,1990,27.53333,3.86667,LL,Chondrite,Stony,11
89,3,208.0,Found,1990,27.5,3.48333,CV,Chondrite,Stony,11
90,3,690.0,Found,1990,27.48333,3.63333,L,Chondrite,Stony,11
91,5,6300.0,Found,1990,27.55,3.86667,H,Chondrite,Stony,11
92,5,293.0,Found,1990,27.58333,3.95,H,Chondrite,Stony,11
93,3,173.0,Found,1990,27.66667,4.18333,CV,Chondrite,Stony,11
94,3,163.0,Found,1990,27.7,4.26667,CR,Chondrite,Stony,11
95,4,200.0,Found,1990,27.75,4.43333,L,Chondrite,Stony,11
96,5,682.0,Found,1990,27.63333,4.3,H,Chondrite,Stony,11
97,5,290.0,Found,1990,27.5,3.83333,H,Chondrite,Stony,11
98,3,3487.0,Found,1990,27.45,4.11667,LL,Chondrite,Stony,11
99,5,244.0,Found,1990,27.66667,4.51667,H,Chondrite,Stony,11
100,4,420.0,Found,1990,27.71667,4.13333,L,Chondrite,Stony,11
101,3,82.0,Found,1990,27.73333,4.43333,Chondrite,Chondrite,Stony,11
102,5,104.0,Found,1990,27.71667,4.38333,H,Chondrite,Stony,11
103,4,572.0,Found,1990,27.61667,4.2,L,Chondrite,Stony,11
104,3,63.0,Found,1990,27.51667,3.96667,CR,Chondrite,Stony,11
105,5,5500.0,Found,1990,27.46667,3.88333,H,Chondrite,Stony,11
106,5,313.0,Found,1990,27.45,3.83333,H,Chondrite,Stony,11
107,5,140.0,Found,1990,27.46667,3.95,H,Chondrite,Stony,11
108,4,452.0,Found,1990,27.53333,4.16667,L,Chondrite,Stony,11
109,4,346.0,Found,1990,27.66667,4.46667,L,Chondrite,Stony,11
110,5,665.0,Found,1990,27.8,4.5,H,Chondrite,Stony,11
111,5,992.0,Found,1990,27.63333,4.36667,H,Chondrite,Stony,11
112,4,392.0,Found,1990,27.55,4.13333,L,Chondrite,Stony,11
113,3,1390.0,Found,1990,27.5,3.9,LL,Chondrite,Stony,11
114,4,105.0,Found,1990,27.45,3.75,L,Chondrite,Stony,11
115,5,828.0,Found,1990,27.5,3.88333,H,Chondrite,Stony,11
116,5,236.0,Found,1990,27.55,3.76667,H,Chondrite,Stony,11
117,3,107.0,Found,1990,27.48333,3.8,L,Chondrite,Stony,11
118,3,987.0,Found,1990,27.48333,3.8,H,Chondrite,Stony,11
119,3,216.0,Found,1990,27.65,4.03333,LL,Chondrite,Stony,11
120,3,2906.0,Found,1990,27.56667,4.03333,LL,Chondrite,Stony,11
121,3,43.0,Found,1990,27.6,3.96667,CR,Chondrite,Stony,11
122,5,287.0,Found,1990,27.73333,4.16667,H,Chondrite,Stony,11
123,4,345.0,Found,1990,27.73333,4.16667,L,Chondrite,Stony,11
124,5,178.0,Found,1990,27.73333,4.2,H,Chondrite,Stony,11
125,4,752.0,Found,1990,27.66667,4.2,L,Chondrite,Stony,11
126,5,121.0,Found,1990,27.65,4.23333,H,Chondrite,Stony,11
127,3,861.0,Found,1990,27.65,4.3,LL,Chondrite,Stony,11
128,4,427.0,Found,1990,27.68333,4.33333,L,Chondrite,Stony,11
129,4,235.0,Found,1990,27.5,3.66667,L,Chondrite,Stony,11
130,5,452.0,Found,1990,27.46667,3.76667,H,Chondrite,Stony,11
131,3,542.0,Found,1990,27.6,4.05,LL,Chondrite,Stony,11
132,4,3380.0,Found,1990,27.68333,4.35,L,Chondrite,Stony,11
133,3,280.0,Found,1990,27.51667,3.8,LL,Chondrite,Stony,11
134,4,699.0,Found,1990,27.7,4.3,L,Chondrite,Stony,11
135,4,163.0,Found,1990,27.5,4.3,L,Chondrite,Stony,11
136,5,162.0,Found,1990,27.6,4.2,H,Chondrite,Stony,11
137,5,400.0,Found,1990,27.58333,4.0,H,Chondrite,Stony,11
138,3,171.0,Found,1990,27.58333,3.96667,LL,Chondrite,Stony,11
139,5,1621.0,Found,1990,27.5,3.76667,H,Chondrite,Stony,11
140,4,362.0,Found,1990,27.5,3.83333,L,Chondrite,Stony,11
141,4,1161.0,Found,1990,27.76667,4.53333,L,Chondrite,Stony,11
142,5,124.0,Found,1990,27.55,4.03333,H,Chondrite,Stony,11
143,5,324.0,Found,1990,27.46667,4.05,H,Chondrite,Stony,11
144,5,106.0,Found,1990,27.58333,4.08333,H,Chondrite,Stony,11
145,4,941.0,Found,1990,27.66667,4.08333,L,Chondrite,Stony,11
146,3,143.0,Found,1990,27.56667,4.08333,CR,Chondrite,Stony,11
147,4,171.0,Found,1990,27.56667,4.08333,L,Chondrite,Stony,11
148,5,58.0,Found,1990,27.58333,3.85,H,Chondrite,Stony,11
149,4,91.0,Found,1990,27.56667,4.35,L,Chondrite,Stony,11
150,4,417.0,Found,1990,27.66667,4.45,L,Chondrite,Stony,11
151,4,186.0,Found,1990,27.66667,4.28333,L,Chondrite,Stony,11
152,4,869.0,Found,1990,27.66667,4.28333,L,Chondrite,Stony,11
153,5,200.0,Found,1990,27.63333,4.08333,H,Chondrite,Stony,11
154,4,140.0,Found,1990,27.6,4.11667,L,Chondrite,Stony,11
155,5,157.0,Found,1990,27.58333,4.06667,H,Chondrite,Stony,11
156,3,394.0,Found,1990,27.58333,4.05,LL,Chondrite,Stony,11
157,5,251.0,Found,1990,27.56667,3.81667,H,Chondrite,Stony,11
158,5,218.0,Found,1990,27.46667,3.71667,H,Chondrite,Stony,11
159,5,157.0,Found,1990,27.43333,3.75,H,Chondrite,Stony,11
160,5,211.0,Found,1990,27.53333,3.95,H,Chondrite,Stony,11
161,5,95.0,Found,1990,27.55,4.01667,H,Chondrite,Stony,11
162,4,206.0,Found,1990,27.66667,4.25,L,Chondrite,Stony,11
163,4,240.0,Found,1990,27.66667,4.23333,L,Chondrite,Stony,11
164,4,1072.0,Found,1990,27.66667,4.23333,L,Chondrite,Stony,11
165,5,422.0,Found,1990,27.66667,4.21667,H,Chondrite,Stony,11
166,5,123.0,Found,1990,27.5,3.93333,H,Chondrite,Stony,11
167,3,433.0,Found,1990,27.46667,3.71667,LL,Chondrite,Stony,11
168,5,604.0,Found,1990,27.75,4.43333,H,Chondrite,Stony,11
169,5,1281.0,Found,1990,27.66667,4.01667,H,Chondrite,Stony,11
170,5,125.0,Found,1990,27.7,4.35,H,Chondrite,Stony,11
171,5,43.0,Found,1990,27.53333,4.18333,H,Chondrite,Stony,11
172,5,84.0,Found,1990,27.56667,4.33333,H,Chondrite,Stony,11
173,5,2476.0,Found,1990,27.51667,4.23333,H,Chondrite,Stony,11
174,4,157.0,Found,1990,27.51667,4.0,L,Chondrite,Stony,11
175,4,211.0,Found,1990,27.6,3.98333,L,Chondrite,Stony,11
176,5,559.0,Found,1990,27.73333,4.11667,H,Chondrite,Stony,11
177,5,313.0,Found,1990,27.65,4.25,H,Chondrite,Stony,11
178,4,766.0,Found,1990,27.66667,4.16667,L,Chondrite,Stony,11
179,5,262.0,Found,1990,27.65,4.03333,H,Chondrite,Stony,11
180,3,127.0,Found,1990,27.48333,3.86667,LL,Chondrite,Stony,11
181,3,153.0,Found,1990,27.48333,3.85,LL,Chondrite,Stony,11
182,3,320.0,Found,1990,27.48333,3.85,LL,Chondrite,Stony,11
183,3,721.0,Found,1990,27.48333,3.85,LL,Chondrite,Stony,11
184,3,488.0,Found,1990,27.48333,3.75,H,Chondrite,Stony,11
185,4,163.0,Found,1990,27.46667,3.75,L,Chondrite,Stony,11
186,5,103.0,Found,1990,27.6,4.16667,H,Chondrite,Stony,11
187,4,245.0,Found,1990,27.66667,4.2,L,Chondrite,Stony,11
188,3,166.0,Found,1990,27.7,4.35,CH,Chondrite,Stony,11
189,5,114.0,Found,1990,27.58333,4.16667,H,Chondrite,Stony,11
190,5,311.0,Found,1990,27.56667,4.01667,H,Chondrite,Stony,11
191,3,109.0,Found,1990,27.53333,3.83333,LL,Chondrite,Stony,11
192,3,315.0,Found,1990,27.46667,3.86667,CR,Chondrite,Stony,11
193,3,234.0,Found,1990,27.46667,3.9,CR,Chondrite,Stony,11
194,5,252.0,Found,1990,27.58333,4.11667,H,Chondrite,Stony,11
195,5,53.0,Found,1990,27.6,4.18333,H,Chondrite,Stony,11
196,4,4439.0,Found,1990,27.7,4.3,L,Chondrite,Stony,11
197,4,188.0,Found,1990,27.7,4.3,L,Chondrite,Stony,11
198,5,219.0,Found,1990,27.65,4.2,H,Chondrite,Stony,11
