"","Name","Fell_or_Found","Year","Mass","longitude","latitude","Land_Cover","Chondrite","Type","Level_3","Level_4","Group","recclass"
"1","Aachen","Fell",1880,21,6.08333,50.775,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"2","Aarhus","Fell",1951,720,10.23333,56.18333,"Cultivated Land","Chondrite","Stony","Ordinary","H","H","H6"
"3","Abajo","Found",1982,331,-105.41667,26.8,"Pasture/Land used for Grazing","Chondrite","Stony","Ordinary","H","H","H5"
"4","Abbott","Found",1951,21100,-104.28333,36.3,"Grassland/Steppe","Chondrite","Stony","Ordinary","H","H","H3-6"
"5","Abee","Fell",1952,107000,-113,54.21667,"Cultivated Land","Chondrite","Stony","Enstatite","EH-EL","EH","EH4"
"6","Abernathy","Found",1941,2914,-101.8,33.85,"Cultivated Land","Chondrite","Stony","Ordinary","L","L","L6"
"7","Abo","Found",1840,1.2,22.3,60.43333,"Cultivated Land","Chondrite","Stony","Ordinary","H","H","H"
"8","Abu Moharek","Found",1997,4500,29.83583,27.23944,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"9","Acapulco","Fell",1976,1914,-99.9,16.88333,"Oceans/Water","Achondrite","Stony","Primitive","-","Acapulcoite","Acapulcoite"
"10","Acfer 001","Found",1989,6700,3.61667,27.5,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"11","Acfer 002","Found",1989,228,3.85,27.61667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"12","Acfer 003","Found",1989,145,4.03333,27.81667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"13","Acfer 004","Found",1989,1020,3.81667,27.58333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"14","Acfer 005","Found",1989,115,3.83333,27.6,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H3.9/4"
"15","Acfer 006","Found",1989,561,3.96667,27.63333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H3.9/4"
"16","Acfer 007","Found",1989,542,3.65,27.51667,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5"
"17","Acfer 008","Found",1989,205,3.7,27.53333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"18","Acfer 009","Found",1989,127,4.08333,27.73333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"19","Acfer 010","Found",1989,276,4.1,27.75,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"20","Acfer 011","Found",1989,3800,4.16667,27.75,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"21","Acfer 012","Found",1989,98,4.16667,27.8,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H6"
"22","Acfer 013","Found",1989,490,4.28333,27.83333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"23","Acfer 014","Found",1989,307,4.46667,27.8,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"24","Acfer 015","Found",1989,98,4.28333,27.78333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"25","Acfer 016","Found",1989,111,4.48333,27.71667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4-5"
"26","Acfer 017","Found",1989,446,4.4,27.73333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5"
"27","Acfer 018","Found",1989,207,4.08333,27.7,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"28","Acfer 019","Found",1989,581,4.06667,27.7,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"29","Acfer 020","Found",1989,708,4.06667,27.7,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"30","Acfer 021","Found",1989,2140,3.61667,27.55,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H6"
"31","Acfer 022","Found",1989,192,3.83333,27.51667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H3.7"
"32","Acfer 023","Found",1989,118,3.91667,27.51667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H3.8"
"33","Acfer 024","Found",1989,1464,3.93333,27.55,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"34","Acfer 025","Found",1989,920,3.96667,27.58333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"35","Acfer 026","Found",1989,88,4.05,27.61667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5/6"
"36","Acfer 027","Found",1989,206,4.2,27.66667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"37","Acfer 028","Found",1989,3130,4.25,27.66667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H3.8"
"38","Acfer 029","Found",1989,98,4.33333,27.68333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4"
"39","Acfer 030","Found",1989,123,4.41667,27.68333,"Hot Desert","Chondrite","Stony","Ordinary","LL","LL","LL6"
"40","Acfer 031","Found",1989,2016,4.35,27.66667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"41","Acfer 032","Found",1989,495,4.46667,27.65,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"42","Acfer 033","Found",1989,93,4.43333,27.65,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"43","Acfer 034","Found",1989,184,4.35,27.63333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"44","Acfer 035","Found",1989,36,4.3,27.6,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H6"
"45","Acfer 036","Found",1989,112,4.25,27.58333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5/6"
"46","Acfer 037","Found",1989,385,4.13333,27.55,"Hot Desert","Chondrite","Stony","Ordinary","LL","LL","LL4-6"
"47","Acfer 038","Found",1989,962,4,27.53333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"48","Acfer 039","Found",1989,225,3.91667,27.53333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L3.8"
"49","Acfer 040","Found",1989,146,3.78333,27.46667,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5-6"
"50","Acfer 041","Found",1989,134,3.71667,27.43333,"Hot Desert","Chondrite","Stony","Ordinary","LL","LL","L/LL6"
"51","Acfer 042","Found",1989,246,3.83333,27.46667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"52","Acfer 043","Found",1989,120,3.91667,27.51667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4"
"53","Acfer 044","Found",1989,195,4,27.55,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L6"
"54","Acfer 046","Found",1989,1066,4.7,27.78333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"55","Acfer 047","Found",1989,1440,4.7,27.83333,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L4"
"56","Acfer 048","Found",1989,115,4.08333,27.55,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4-5"
"57","Acfer 049","Found",1989,82.9,3.71667,27.41667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"58","Acfer 050","Found",1989,1394,4.5,27.65,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H6"
"59","Acfer 051","Found",1989,905,4.41667,27.61667,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5"
"60","Acfer 052","Found",1989,58,4.15,27.75,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5"
"61","Acfer 053","Found",1989,1937,4.05,27.73333,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H6"
"62","Acfer 054","Found",1989,2051,3.93333,27.7,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"63","Acfer 055","Found",1989,1338,3.98333,27.5,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"64","Acfer 056","Found",1989,129,3.88333,27.46667,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L4"
"65","Acfer 058","Found",1989,277,3.71667,27.38333,"Hot Desert","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"66","Acfer 059","Found",1989,281,4.06667,27.51667,"Hot Desert","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"67","Acfer 060","Found",1989,226,4.16667,27.56667,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4"
"68","Acfer 061","Found",1989,105,4.25,27.6,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4-5"
"69","Acfer 062","Found",1989,283,4.41667,27.6,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H5"
"70","Acfer 063","Found",1989,716,4.56667,27.61667,"Hot Desert","Achondrite","Stony-Iron","Mesosiderite","-","Mesosiderite","Mesosiderite"
"71","Acfer 064","Found",1989,854,4.56667,27.61667,"Hot Desert","Chondrite","Stony","Ordinary","L","L","L5"
"72","Acfer 065","Found",1989,1539,4.28333,27.5,"Hot Desert","Chondrite","Stony","Ordinary","H","H","H4-5"
"73","Acfer 066","Found",1990,517,4.06667,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3.8-6"
"74","Acfer 067","Found",1990,383,4.78333,27.71667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"75","Acfer 068","Found",1990,1805,3.7,27.55,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
