"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4451",12351,"EH3",334,"Found",1905,-13.01667,34.2,"EH","Chondrite","Stony","Enstatite","EH-EL","0",1
"4604",14645,"Iron, IIIAB",2e+05,"Found",1959,40.5,112.5,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"4558",12465,"L4",7000,"Fell",1925,47.75,16.23333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"6945",30357,"Iron, IIAB",9600,"Found",1903,-35.98333,145.58333,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"6911",24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L","0",1
"5632",22585,"Iron, IVA",10000,"Fell",1919,-6.73333,111.36667,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","0",1
"5726",22695,"H5",71.1,"Found",1969,34.08333,-103.5,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"5909",23187,"H",695,"Fell",1688,34.71667,137.78333,"H","Chondrite","Stony","Ordinary","H","0",1
"671",5039,"L6",100,"Fell",1893,20.83333,71.46667,"L","Chondrite","Stony","Ordinary","L","0",1
"5839",23091,"LL3.3",24.3,"Fell",1919,38.16667,-76.38333,"LL","Chondrite","Stony","Ordinary","LL","0",1
"596",4944,"OC",367,"Fell",1704,41.36667,2.16667,"Chondrite","Chondrite","Stony",NA,NA,"0",1
"4955",16851,"L",25.5,"Fell",1795,9.33333,80.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"6901",24282,"Iron, IIIAB",7800,"Found",1976,29.96667,-98.11667,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","1",0.0294975764627465
"479",2294,"Stone-uncl",2700,"Fell",1880,26.58333,85.56667,"Stony",NA,"Stony",NA,NA,"1",0.0294975764627465
"634",4994,"LL6",11620,"Found",1924,38.53333,-100.21667,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"6956",30368,"L6",1440,"Found",1928,40.86667,-97.6,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"5399",18104,"L6",13000,"Found",1969,39.11,-100.36167,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"9595",56431,"LL6",724,"Found",1976,47.02633,10.27333,"LL","Chondrite","Stony","Ordinary","LL","8",0.0565394577591197
"4072",11926,"L6",1074,"Found",1979,-30.56667,129.63333,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"9687",56523,"L6",1194,"Found",1979,19.72861,55.70389,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"6898",24279,"H4",3000,"Found",1951,37.53333,-98.36667,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"5337",18032,"Iron, IIIAB",24500,"Found",1893,39.68333,-121.63333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"7946",45978,"Iron, ungrouped",8200,"Found",1981,-8.65,115.21667,"Iron","Achondrite","Iron",NA,NA,"0",1
"8534",51739,"Iron, IAB complex",14000,"Found",1971,-30.75,-64.78333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","2",0.064345060252235
"9701",56566,"Iron, IAB-ung",732,"Found",1979,42.318,-90.221,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"983",5382,"H3.5",277,"Found",1986,11.7,-137.8,"H","Chondrite","Stony","Ordinary","H","0",1
"5744",22713,"L4",12,"Found",1968,34.08333,-103.5,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"6911.1",24325,"L6",25000,"Fell",1795,54.13667,-0.41333,"L","Chondrite","Stony","Ordinary","L","0",1
"5379",18082,"H5",682,"Fell",1949,21.3,-157.78333,"H","Chondrite","Stony","Ordinary","H","0",1
"508",2327,"CV3",985.8,"Found",1972,34.15,-103.22,"CV","Chondrite","Stony","Carbonaceous","CV-CK","1",0.0294975764627465
"4142",12000,"H5",3457,"Fell",1956,-32.1,28.33333,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"374",379,"EH4",4239,"Fell",1919,32.1,71.8,"EH","Chondrite","Stony","Enstatite","EH-EL","2",0.064345060252235
"4882",16738,"L6",8887.5,"Fell",1930,-40.975,145.6,"L","Chondrite","Stony","Ordinary","L","0",1
"3461",10835,"Iron",7.3,"Found",1849,32.7,128.85,"Iron","Achondrite","Iron",NA,NA,"0",1
"701",5071,"L6",5100,"Fell",1909,31.83333,-98.83333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"3239",7758,"Mesosiderite-A1",188,"Fell",1933,-3,151,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"0",1
"2219",6661,"Iron, ungrouped",26100,"Found",1975,33.07139,-102.80028,"Iron","Achondrite","Iron",NA,NA,"2",0.064345060252235
"5312",18001,"L4",1000,"Found",1916,26.68333,-80.8,"L","Chondrite","Stony","Ordinary","L","0",1
"3199",7712,"Pallasite, PMG",7600,"Found",1955,33.92667,-103.955,"Main Group","Achondrite","Stony-Iron","Pallasite",NA,"2",0.064345060252235
"2182",6621,"H6",340,"Fell",1887,43,-80,"H","Chondrite","Stony","Ordinary","H","0",1
"3529",10938,"Ureilite",2700,"Found",1868,26.16667,90.6,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,"0",1
"6915",24330,"Iron, IAB-ung",48200,"Found",1953,42.34667,-90.1675,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"6696",24087,"L6",236,"Found",1920,44.01667,28.63333,"L","Chondrite","Stony","Ordinary","L","0",1
"6206",23489,"H4",1184,"Found",1965,32.54333,-102.705,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"6426",23741,"L/LL6",1710.5,"Fell",1916,25.93333,84.28333,"LL","Chondrite","Stony","Ordinary","LL","1",0.0294975764627465
"3461.1",10835,"Iron",7.3,"Found",1849,32.7,128.85,"Iron","Achondrite","Iron",NA,NA,"0",1
"3580",11208,"L6",8000,"Fell",1881,46.35,30.58333,"L","Chondrite","Stony","Ordinary","L","0",1
"5872",23128,"H6",56,"Fell",1973,33.48472,-117.6625,"H","Chondrite","Stony","Ordinary","H","0",1
"985",5385,"H3.6",283000,"Found",1961,34.3,-103.13472,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"4072.1",11926,"L6",1074,"Found",1979,-30.56667,129.63333,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"6603",23980,"OC",1959,"Found",1965,39.52167,-103.16667,"Chondrite","Chondrite","Stony",NA,NA,"2",0.064345060252235
"5553",22371,"Iron, IIAB",10200,"Fell",1986,27.72528,76.465,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","1",0.0294975764627465
"2193",6632,"H5",61.4,"Found",1989,-30.66667,129.01667,"H","Chondrite","Stony","Ordinary","H","13",0.0166285644122995
"9604",56440,"L5",49,"Found",1979,19.74806,55.75528,"L","Chondrite","Stony","Ordinary","L","14",0.0286088486882495
"694",5064,"L/LL4",330000,"Fell",1899,60.4,25.8,"LL","Chondrite","Stony","Ordinary","LL","0",1
"3461.2",10835,"Iron",7.3,"Found",1849,32.7,128.85,"Iron","Achondrite","Iron",NA,NA,"0",1
"983.1",5382,"H3.5",277,"Found",1986,11.7,-137.8,"H","Chondrite","Stony","Ordinary","H","0",1
"4322",12212,"L5",241,"Found",1932,30.5,-99.83333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"4875",16731,"Iron, IAB?",2000,"Found",1965,-23.93333,-68.28333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","13",0.0166285644122995
"4651",14708,"L6",25,"Fell",1894,38,-0.83333,"L","Chondrite","Stony","Ordinary","L","0",1
"5288",17971,"L5",75.3,"Found",1968,-31.58333,127.7,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"790",5167,"H5",8600,"Found",1940,38.23333,-99.53333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4951",16846,"H4/6",3600,"Found",1972,34.12167,-102.695,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"995",5396,"Pallasite, PES",320,"Found",1921,55.18333,-162.55,"Eagle Station Group","Achondrite","Stony-Iron","Pallasite",NA,"0",1
"4017",11869,"H5",3500,"Fell",1922,55.46667,13.78333,"H","Chondrite","Stony","Ordinary","H","0",1
"5029",16931,"H6",1500,"Found",1968,34.58333,-102.08333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5570",22388,"Eucrite-mmict",155,"Found",1987,24.3,-102.18333,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","13",0.0166285644122995
"749",5121,"L3",5460,"Fell",1969,54.56667,-6.33333,"L","Chondrite","Stony","Ordinary","L","0",1
"5044",16949,"Iron, IIE-an",250000,"Found",1846,54.23333,35.15,"Iron IIE","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"5523",18893,"Iron, IIIAB",6804,"Found",1903,38.56667,-85.23333,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.064345060252235
"4812",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",1
"5312.1",18001,"L4",1000,"Found",1916,26.68333,-80.8,"L","Chondrite","Stony","Ordinary","L","0",1
"5472",18834,"L6",842,"Fell",1882,25.8,88.45,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"973",5372,"H4",20,"Found",1986,12.5,-137.7,"H","Chondrite","Stony","Ordinary","H","0",1
"777",5151,"H3.7",40960,"Found",1937,33.21667,-102.18333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"6752",24144,"H6",2799,"Fell",1944,11.98333,79.75,"H","Chondrite","Stony","Ordinary","H","0",1
"3514",10919,"L6",480,"Fell",1947,9.6,9.91667,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
