"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"503",4558,12465,"L4",7000,"Fell",1925,47.75,16.23333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"985",6750,24143,"H6",40,"Fell",1668,45.41667,11.13333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"1004",6801,24189,"H6",594,"Fell",1915,25.45,70,"H","Chondrite","Stony","Ordinary","H",14,0.498018659921233
"919",6444,23760,"H6",7235,"Fell",1865,26.71667,84.21667,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"470",4443,12342,"L6",11510,"Fell",1986,34.3,133.95,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"823",5821,22792,"H5",1250,"Fell",1855,27.43333,82.08333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"838",5849,23102,"LL6",271000,"Fell",1966,45.3,0.23333,"LL","Chondrite","Stony","Ordinary","LL",2,0.463225690897741
"903",6383,23671,"Iron, ungrouped",2050,"Fell",1945,1.7,33.63333,"Iron","Achondrite","Iron",NA,NA,17,3.8504410331384
"1031",6954,30366,"H4/5",31650,"Fell",1837,37.75,139,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"183",943,5339,"H4",6000,"Fell",1964,53.7,30.1,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"299",3474,10849,"EH3/4-an",28,"Fell",1952,7.05,12.43333,"EH","Chondrite","Stony","Enstatite","EH-EL",2,0.463225690897741
"466",4424,12326,"L6",202.6,"Fell",1998,43.38333,-80.38333,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"908",6410,23726,"Stone-uncl",367,"Fell",1647,52.53333,9.05,"Stony",NA,"Stony",NA,NA,11,0.00485781484723708
"995",6781,24168,"H6",1500,"Fell",1865,43.5,-91.16667,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"456",4401,12301,"L6",737.6,"Fell",1962,54.4,10.15,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
