"","lat_gs","long_gs","ffscore","fallorfind"
"1",64,-164,-1,"find"
"2",55,-163,-1,"find"
"3",21,-158,1,"fall"
"4",65,-147,-1,"find"
"5",63,-140,-1,"find"
"6",11,-138,-1,"find"
"7",12,-138,-1,"find"
"8",59,-136,-1,"find"
"9",59,-135,1,"fall"
"10",40,-124,-1,"find"
"11",41,-124,-1,"find"
"12",42,-123,-1,"find"
"13",44,-123,1,"fall"
"14",45,-123,0,"both"
"15",47,-123,-1,"find"
"16",38,-122,-1,"find"
"17",39,-122,-1,"find"
"18",42,-122,-1,"find"
"19",38,-121,0,"both"
"20",41,-121,-1,"find"
"21",42,-121,-1,"find"
"22",34,-120,-1,"find"
"23",38,-120,1,"fall"
"24",40,-120,-1,"find"
"25",45,-120,-1,"find"
"26",47,-120,-1,"find"
"27",66,-120,-1,"find"
"28",34,-119,-1,"find"
"29",35,-119,-1,"find"
"30",36,-119,-1,"find"
"31",39,-119,-1,"find"
"32",40,-119,-1,"find"
"33",51,-119,1,"fall"
"34",33,-118,1,"fall"
"35",34,-118,-1,"find"
"36",35,-118,-1,"find"
"37",37,-118,-1,"find"
"38",39,-118,-1,"find"
"39",40,-118,1,"fall"
"40",46,-118,-1,"find"
"41",51,-118,1,"fall"
"42",56,-118,1,"fall"
"43",32,-117,-1,"find"
"44",33,-117,-1,"find"
"45",34,-117,-1,"find"
"46",35,-117,-1,"find"
"47",36,-117,-1,"find"
"48",37,-117,-1,"find"
"49",43,-117,-1,"find"
"50",44,-117,-1,"find"
"51",32,-116,-1,"find"
"52",33,-116,-1,"find"
"53",34,-116,-1,"find"
"54",35,-116,-1,"find"
"55",38,-116,-1,"find"
"56",40,-116,-1,"find"
"57",53,-116,-1,"find"
"58",32,-115,-1,"find"
"59",33,-115,-1,"find"
"60",34,-115,-1,"find"
"61",35,-115,-1,"find"
"62",36,-115,-1,"find"
"63",37,-115,-1,"find"
"64",39,-115,-1,"find"
"65",40,-115,-1,"find"
"66",42,-115,-1,"find"
"67",50,-115,-1,"find"
"68",32,-114,-1,"find"
"69",33,-114,-1,"find"
"70",34,-114,-1,"find"
"71",35,-114,-1,"find"
"72",37,-114,-1,"find"
"73",38,-114,-1,"find"
"74",42,-114,-1,"find"
"75",45,-114,-1,"find"
"76",50,-114,-1,"find"
"77",53,-114,-1,"find"
"78",27,-113,-1,"find"
"79",29,-113,-1,"find"
"80",32,-113,-1,"find"
"81",33,-113,-1,"find"
"82",34,-113,-1,"find"
"83",35,-113,-1,"find"
"84",38,-113,-1,"find"
"85",39,-113,-1,"find"
"86",41,-113,1,"fall"
"87",46,-113,-1,"find"
"88",49,-113,-1,"find"
"89",52,-113,-1,"find"
"90",53,-113,0,"both"
"91",54,-113,1,"fall"
"92",24,-112,-1,"find"
"93",26,-112,-1,"find"
"94",29,-112,-1,"find"
"95",30,-112,-1,"find"
"96",31,-112,-1,"find"
"97",32,-112,-1,"find"
"98",33,-112,-1,"find"
"99",34,-112,-1,"find"
"100",35,-112,-1,"find"
"101",38,-112,-1,"find"
"102",40,-112,-1,"find"
"103",46,-112,-1,"find"
"104",49,-112,-1,"find"
"105",53,-112,0,"both"
"106",54,-112,1,"fall"
"107",31,-111,0,"both"
"108",32,-111,-1,"find"
"109",34,-111,0,"both"
"110",35,-111,-1,"find"
"111",38,-111,-1,"find"
"112",40,-111,-1,"find"
"113",45,-111,-1,"find"
"114",46,-111,-1,"find"
"115",29,-110,-1,"find"
"116",30,-110,-1,"find"
"117",32,-110,-1,"find"
"118",35,-110,-1,"find"
"119",37,-110,-1,"find"
"120",38,-110,-1,"find"
"121",41,-110,-1,"find"
"122",46,-110,-1,"find"
"123",50,-110,-1,"find"
"124",52,-110,1,"fall"
"125",27,-109,-1,"find"
"126",28,-109,-1,"find"
"127",32,-109,-1,"find"
"128",33,-109,-1,"find"
"129",34,-109,-1,"find"
"130",35,-109,-1,"find"
"131",37,-109,-1,"find"
"132",38,-109,-1,"find"
"133",46,-109,-1,"find"
"134",49,-109,-1,"find"
"135",52,-109,-1,"find"
"136",26,-108,-1,"find"
"137",27,-108,-1,"find"
"138",29,-108,-1,"find"
"139",30,-108,-1,"find"
"140",31,-108,-1,"find"
"141",32,-108,-1,"find"
"142",33,-108,-1,"find"
"143",34,-108,-1,"find"
"144",35,-108,-1,"find"
"145",36,-108,1,"fall"
"146",38,-108,-1,"find"
"147",43,-108,-1,"find"
"148",44,-108,-1,"find"
"149",51,-108,-1,"find"
"150",52,-108,-1,"find"
"151",26,-107,-1,"find"
"152",28,-107,-1,"find"
"153",31,-107,-1,"find"
"154",32,-107,-1,"find"
"155",33,-107,-1,"find"
"156",34,-107,-1,"find"
"157",35,-107,-1,"find"
"158",38,-107,-1,"find"
"159",39,-107,-1,"find"
"160",43,-107,-1,"find"
"161",52,-107,-1,"find"
"162",20,-106,1,"fall"
"163",24,-106,-1,"find"
"164",25,-106,-1,"find"
"165",26,-106,0,"both"
"166",27,-106,-1,"find"
"167",28,-106,-1,"find"
"168",29,-106,-1,"find"
"169",30,-106,-1,"find"
"170",32,-106,-1,"find"
"171",33,-106,-1,"find"
"172",34,-106,-1,"find"
"173",35,-106,-1,"find"
"174",36,-106,-1,"find"
"175",37,-106,-1,"find"
"176",38,-106,0,"both"
"177",39,-106,-1,"find"
"178",40,-106,0,"both"
"179",52,-106,-1,"find"
"180",53,-106,-1,"find"
"181",20,-105,-1,"find"
"182",23,-105,-1,"find"
"183",24,-105,-1,"find"
"184",25,-105,-1,"find"
"185",27,-105,-1,"find"
"186",30,-105,-1,"find"
"187",32,-105,-1,"find"
"188",33,-105,-1,"find"
"189",34,-105,-1,"find"
"190",35,-105,-1,"find"
"191",36,-105,-1,"find"
"192",37,-105,-1,"find"
"193",38,-105,-1,"find"
"194",39,-105,1,"fall"
"195",40,-105,0,"both"
"196",41,-105,-1,"find"
"197",42,-105,0,"both"
"198",43,-105,-1,"find"
"199",44,-105,-1,"find"
"200",51,-105,-1,"find"
"201",52,-105,-1,"find"
"202",19,-104,1,"fall"
"203",20,-104,1,"fall"
"204",21,-104,1,"fall"
"205",23,-104,-1,"find"
"206",24,-104,-1,"find"
"207",25,-104,1,"fall"
"208",26,-104,-1,"find"
"209",27,-104,-1,"find"
"210",29,-104,-1,"find"
"211",30,-104,0,"both"
"212",32,-104,0,"both"
"213",33,-104,-1,"find"
