,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group_name,Chondrite/Achondrite,type,L3,L4
5625,Aachen,1,Valid,L5,21.0,Fell,1880,50.775,6.08333,"(50.775, 6.08333)",L,Chondrite,Stony,Ordinary,L
568,Aarhus,2,Valid,H6,720.0,Fell,1951,56.18333,10.23333,"(56.18333, 10.23333)",H,Chondrite,Stony,Ordinary,H
916,Abajo,4,Valid,H5,331.0,Found,1982,26.8,-105.41667,"(26.8, -105.41667)",H,Chondrite,Stony,Ordinary,H
918,Abbott,5,Valid,H3-6,21100.0,Found,1951,36.3,-104.28333,"(36.3, -104.28333)",H,Chondrite,Stony,Ordinary,H
399,Abee,6,Valid,EH4,107000.0,Fell,1952,54.21667,-113.0,"(54.21667, -113.0)",EH,Chondrite,Stony,Enstatite,EH-EL
6004,Abernathy,7,Valid,L6,2914.0,Found,1941,33.85,-101.8,"(33.85, -101.8)",L,Chondrite,Stony,Ordinary,L
919,Abo,8,Valid,H,1.2,Found,1840,60.43333,22.3,"(60.43333, 22.3)",H,Chondrite,Stony,Ordinary,H
920,Abu Moharek,9,Valid,H4,4500.0,Found,1997,27.23944,29.83583,"(27.23944, 29.83583)",H,Chondrite,Stony,Ordinary,H
0,Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9,"(16.88333, -99.9)",Acapulcoite,Achondrite,Stony,Primitive,-
6005,Acfer 001,11,Valid,L6,6700.0,Found,1989,27.5,3.61667,"(27.5, 3.61667)",L,Chondrite,Stony,Ordinary,L
921,Acfer 002,12,Valid,H5,228.0,Found,1989,27.61667,3.85,"(27.61667, 3.85)",H,Chondrite,Stony,Ordinary,H
922,Acfer 003,13,Valid,H5,145.0,Found,1989,27.81667,4.03333,"(27.81667, 4.03333)",H,Chondrite,Stony,Ordinary,H
6006,Acfer 004,14,Valid,L6,1020.0,Found,1989,27.58333,3.81667,"(27.58333, 3.81667)",L,Chondrite,Stony,Ordinary,L
923,Acfer 005,15,Valid,H3.9/4,115.0,Found,1989,27.6,3.83333,"(27.6, 3.83333)",H,Chondrite,Stony,Ordinary,H
924,Acfer 006,16,Valid,H3.9/4,561.0,Found,1989,27.63333,3.96667,"(27.63333, 3.96667)",H,Chondrite,Stony,Ordinary,H
6007,Acfer 007,17,Valid,L5,542.0,Found,1989,27.51667,3.65,"(27.51667, 3.65)",L,Chondrite,Stony,Ordinary,L
925,Acfer 008,18,Valid,H5,205.0,Found,1989,27.53333,3.7,"(27.53333, 3.7)",H,Chondrite,Stony,Ordinary,H
6008,Acfer 009,19,Valid,L6,127.0,Found,1989,27.73333,4.08333,"(27.73333, 4.08333)",L,Chondrite,Stony,Ordinary,L
6009,Acfer 010,20,Valid,L6,276.0,Found,1989,27.75,4.1,"(27.75, 4.1)",L,Chondrite,Stony,Ordinary,L
926,Acfer 011,21,Valid,H5,3800.0,Found,1989,27.75,4.16667,"(27.75, 4.16667)",H,Chondrite,Stony,Ordinary,H
927,Acfer 012,22,Valid,H6,98.0,Found,1989,27.8,4.16667,"(27.8, 4.16667)",H,Chondrite,Stony,Ordinary,H
928,Acfer 013,23,Valid,H5,490.0,Found,1989,27.83333,4.28333,"(27.83333, 4.28333)",H,Chondrite,Stony,Ordinary,H
929,Acfer 014,24,Valid,H5,307.0,Found,1989,27.8,4.46667,"(27.8, 4.46667)",H,Chondrite,Stony,Ordinary,H
6010,Acfer 015,25,Valid,L6,98.0,Found,1989,27.78333,4.28333,"(27.78333, 4.28333)",L,Chondrite,Stony,Ordinary,L
930,Acfer 016,26,Valid,H4-5,111.0,Found,1989,27.71667,4.48333,"(27.71667, 4.48333)",H,Chondrite,Stony,Ordinary,H
