,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
1,3,21.0,Fell,1880,50.775,6.08333,L,Chondrite,Stony,11
2,3,720.0,Fell,1951,56.18333,10.23333,H,Chondrite,Stony,1
3,0,331.0,Found,1982,26.8,-105.41667,H,Chondrite,Stony,2
4,0,21100.0,Found,1951,36.3,-104.28333,H,Chondrite,Stony,13
5,3,107000.0,Fell,1952,54.21667,-113.0,EH,Chondrite,Stony,1
6,3,2914.0,Found,1941,33.85,-101.8,L,Chondrite,Stony,1
7,0,1.2,Found,1840,60.43333,22.3,H,Chondrite,Stony,1
8,0,4500.0,Found,1997,27.23944,29.83583,H,Chondrite,Stony,11
9,3,1914.0,Fell,1976,16.88333,-99.9,Acapulcoite,Achondrite,Stony,0
10,6,6700.0,Found,1989,27.5,3.61667,L,Chondrite,Stony,14
11,6,228.0,Found,1989,27.61667,3.85,H,Chondrite,Stony,14
12,6,145.0,Found,1989,27.81667,4.03333,H,Chondrite,Stony,14
13,6,1020.0,Found,1989,27.58333,3.81667,L,Chondrite,Stony,14
14,6,115.0,Found,1989,27.6,3.83333,H,Chondrite,Stony,14
15,6,561.0,Found,1989,27.63333,3.96667,H,Chondrite,Stony,14
16,6,542.0,Found,1989,27.51667,3.65,L,Chondrite,Stony,14
17,6,205.0,Found,1989,27.53333,3.7,H,Chondrite,Stony,14
18,6,127.0,Found,1989,27.73333,4.08333,L,Chondrite,Stony,14
19,6,276.0,Found,1989,27.75,4.1,L,Chondrite,Stony,14
20,6,3800.0,Found,1989,27.75,4.16667,H,Chondrite,Stony,14
21,6,98.0,Found,1989,27.8,4.16667,H,Chondrite,Stony,14
22,6,490.0,Found,1989,27.83333,4.28333,H,Chondrite,Stony,14
23,6,307.0,Found,1989,27.8,4.46667,H,Chondrite,Stony,14
24,6,98.0,Found,1989,27.78333,4.28333,L,Chondrite,Stony,14
25,6,111.0,Found,1989,27.71667,4.48333,H,Chondrite,Stony,14
26,6,446.0,Found,1989,27.73333,4.4,L,Chondrite,Stony,14
27,6,207.0,Found,1989,27.7,4.08333,H,Chondrite,Stony,14
28,6,581.0,Found,1989,27.7,4.06667,L,Chondrite,Stony,14
29,6,708.0,Found,1989,27.7,4.06667,H,Chondrite,Stony,14
30,6,2140.0,Found,1989,27.55,3.61667,H,Chondrite,Stony,14
31,6,192.0,Found,1989,27.51667,3.83333,H,Chondrite,Stony,14
32,6,118.0,Found,1989,27.51667,3.91667,H,Chondrite,Stony,14
33,6,1464.0,Found,1989,27.55,3.93333,H,Chondrite,Stony,14
34,6,920.0,Found,1989,27.58333,3.96667,H,Chondrite,Stony,14
35,6,88.0,Found,1989,27.61667,4.05,H,Chondrite,Stony,14
36,6,206.0,Found,1989,27.66667,4.2,H,Chondrite,Stony,14
37,6,3130.0,Found,1989,27.66667,4.25,H,Chondrite,Stony,14
38,6,98.0,Found,1989,27.68333,4.33333,H,Chondrite,Stony,14
39,6,123.0,Found,1989,27.68333,4.41667,LL,Chondrite,Stony,14
40,6,2016.0,Found,1989,27.66667,4.35,H,Chondrite,Stony,14
41,6,495.0,Found,1989,27.65,4.46667,L,Chondrite,Stony,14
42,6,93.0,Found,1989,27.65,4.43333,L,Chondrite,Stony,14
43,6,184.0,Found,1989,27.63333,4.35,L,Chondrite,Stony,14
44,6,36.0,Found,1989,27.6,4.3,H,Chondrite,Stony,14
45,6,112.0,Found,1989,27.58333,4.25,L,Chondrite,Stony,14
46,6,385.0,Found,1989,27.55,4.13333,LL,Chondrite,Stony,14
47,6,962.0,Found,1989,27.53333,4.0,H,Chondrite,Stony,14
48,6,225.0,Found,1989,27.53333,3.91667,L,Chondrite,Stony,14
49,6,146.0,Found,1989,27.46667,3.78333,L,Chondrite,Stony,14
50,6,134.0,Found,1989,27.43333,3.71667,LL,Chondrite,Stony,14
51,6,246.0,Found,1989,27.46667,3.83333,H,Chondrite,Stony,14
52,6,120.0,Found,1989,27.51667,3.91667,H,Chondrite,Stony,14
53,6,195.0,Found,1989,27.55,4.0,L,Chondrite,Stony,14
54,6,1066.0,Found,1989,27.78333,4.7,H,Chondrite,Stony,14
55,6,1440.0,Found,1989,27.83333,4.7,L,Chondrite,Stony,14
