,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group
3,Acapulco,10,Valid,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9,"(16.88333, -99.9)",ACA
3647,Dhofar 1222,31358,Valid,Acapulcoite,93.0,Found,2003,18.20417,54.05667,"(18.20417, 54.05667)",ACA
3655,Dhofar 125,6910,Valid,Acapulcoite,2697.0,Found,2000,18.98667,54.6005,"(18.98667, 54.6005)",ACA
4184,Dhofar 290,7073,Valid,Acapulcoite,62.0,Found,2001,19.315,54.84333,"(19.315, 54.84333)",ACA
4206,Dhofar 312,7095,Valid,Acapulcoite,354.0,Found,2001,18.98833,54.605,"(18.98833, 54.605)",ACA
4997,El Médano 096,56689,Valid,Acapulcoite,11.1,Found,2011,-24.85,-70.53333,"(-24.85, -70.53333)",ACA
5317,Great Sand Sea 032,51057,Valid,Acapulcoite,8.3,Found,2006,26.18667,25.45567,"(26.18667, 25.45567)",ACA
7123,Monument Draw,16732,Valid,Acapulcoite,524.5,Found,1985,32.50333,-102.74333,"(32.50333, -102.74333)",ACA
7454,Northwest Africa 725,17807,Valid,Acapulcoite,3824.0,Found,1979,30.6,-5.05,"(30.6, -5.05)",ACA
9230,Superior Valley 014,34064,Valid,Acapulcoite,1.77,Found,2002,35.236,-117.04212,"(35.236, -117.04212)",ACA
9726,Yabrin 003,48974,Valid,Acapulcoite,21.048,Found,2008,23.31522,48.62988,"(23.31522, 48.62988)",ACA
908,Silistra,55584,Valid,Achondrite-ung,0.15,Fell,1917,44.11667,27.26667,"(44.11667, 27.26667)",Achon
1587,Al Huwaysah 010,55637,Valid,Achondrite-ung,1411.8,Found,2010,22.74868,55.47218,"(22.74868, 55.47218)",Achon
3281,Dar al Gani 962,6502,Valid,Achondrite-ung,130.0,Found,1998,27.198,16.4085,"(27.198, 16.4085)",Achon
3761,Dhofar 1441,48543,Valid,Achondrite-ung,267.8,Found,2003,18.436,54.48383,"(18.436, 54.48383)",Achon
4384,Dhofar 500,7261,Valid,Achondrite-ung,116.0,Found,2000,18.38667,54.20333,"(18.38667, 54.20333)",Achon
4610,Dhofar 732,7486,Valid,Achondrite-ung,17.0,Found,2002,19.405,54.57833,"(19.405, 54.57833)",Achon
4823,Divnoe,7650,Valid,Achondrite-ung,12700.0,Found,1981,45.7,43.7,"(45.7, 43.7)",Achon
7310,Northwest Africa 011,17021,Valid,Achondrite-ung,40.0,Found,1999,31.33333,-4.33333,"(31.33333, -4.33333)",Achon
8827,Sayh al Uhaymir 493,52861,Valid,Achondrite-ung,134.0,Found,2009,20.53333,57.3,"(20.53333, 57.3)",Achon
38,Angra dos Reis (stone),2302,Valid,Angrite,1500.0,Fell,1869,-22.96667,-44.31667,"(-22.96667, -44.31667)",ANG
