"","id","recclass","mass","fall_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","over_under","coords.x1","coords.x2","optional"
"3786",11632,"L4",633,"Found",1995,28.69167,13.21967,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,13.21967,28.69167,TRUE
"503",2320,"L6",3200,"Fell",1803,43.86667,5.38333,"L","Chondrite","Stony","Ordinary","L","12",0.49799067553469,5.38333,43.86667,TRUE
"3430",10154,"H4",0.83,"Found",1992,-30.73783,127.95367,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,127.95367,-30.73783,TRUE
"3696",11542,"Eucrite-mmict",143,"Found",1994,28.9455,13.0695,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","11",0.00485781484723708,13.0695,28.9455,TRUE
"4090",11944,"L6",23.6,"Found",1991,-30.27467,129.0185,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,129.0185,-30.27467,TRUE
"7886",45918,"LL6",425,"Found",2006,20.01352,56.40697,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708,56.40697,20.01352,TRUE
"3052",7521,"H5",212,"Found",2000,18.90333,54.70452,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.70452,18.90333,TRUE
"8192",50674,"H6",5.8,"Found",2008,19.97892,56.43194,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,56.43194,19.97892,TRUE
"8662",51980,"L6",34.2,"Found",2009,19.43198,55.36335,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,55.36335,19.43198,TRUE
"1990",6400,"CO3",2655,"Found",1999,27.197,15.9045,"CO","Chondrite","Stony","Carbonaceous","CM-CO","11",0.00485781484723708,15.9045,27.197,TRUE
"9732",56638,"H5/6",16.7,"Found",2011,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-70.53333,-24.85,TRUE
"823",5205,"L6",280,"Found",1989,-30.08333,126.61667,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233,126.61667,-30.08333,TRUE
"7047",30466,"H5-6",1369,"Found",1999,35.05865,-116.76872,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-116.76872,35.05865,TRUE
"7175",30757,"H5",1800,"Found",2003,25.59983,28.45217,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,28.45217,25.59983,TRUE
"2347",6816,"EH4",63.53,"Found",2002,18.55907,54.08162,"EH","Chondrite","Stony","Enstatite","EH-EL","11",0.00485781484723708,54.08162,18.55907,TRUE
"2514",6983,"H4",160,"Found",1999,18.39333,54.16667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,54.16667,18.39333,TRUE
"1331",5737,"CO3",3370,"Found",1996,27.18283,15.94233,"CO","Chondrite","Stony","Carbonaceous","CM-CO","11",0.00485781484723708,15.94233,27.18283,TRUE
"8648",51966,"H4",405.8,"Found",2009,18.98645,55.58648,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,55.58648,18.98645,TRUE
"3218",7735,"Iron",367,"Found",1979,23.9,108.1,"Iron","Achondrite","Iron",NA,NA,"2",0.463225690897741,108.1,23.9,TRUE
"1817",6226,"H5-6",21,"Found",1999,26.95,16.46667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.46667,26.95,TRUE
"6468",23785,"L5",25000,"Found",1934,34.45,-104.01667,"L","Chondrite","Stony","Ordinary","L","13",0.428663281861922,-104.01667,34.45,TRUE
"9140",55280,"L5",110,"Found",2004,18.57083,54.449,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,54.449,18.57083,TRUE
"8480",51665,"L~5",271.7,"Found",2008,20.15998,56.64625,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,56.64625,20.15998,TRUE
"8539",51853,"H5",4.6,"Found",2007,39.6872,-117.62618,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-117.62618,39.6872,TRUE
"5287",17970,"LL5",1100,"Fell",1914,47.55,22.025,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897,22.025,47.55,TRUE
"7545",35555,"R5",0.54,"Found",2005,19.97028,56.39825,"Rumuruti","Chondrite","Stony","Other","Rumuruti","11",0.00485781484723708,56.39825,19.97028,TRUE
"1808",6216,"Howardite",926,"Found",1999,27.33333,16.16667,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta","11",0.00485781484723708,16.16667,27.33333,TRUE
