"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"6854",24234,"H4",27700,"Found",1934,40.35,-103.95,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"4812",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",1
"4859",16712,"H6",1800,"Found",1948,38.5,-101.1,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4811",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",1
"3580",11208,"L6",8000,"Fell",1881,46.35,30.58333,"L","Chondrite","Stony","Ordinary","L","0",1
"6338",23625,"L4",1070,"Found",1941,33.43333,-101.75,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
"9701",56566,"Iron, IAB-ung",732,"Found",1979,42.318,-90.221,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","0",1
"6218",23501,"H4",8500,"Fell",1818,41.05,23.56667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"4738",15412,"CK4-an",3388,"Found",1974,-30.3,131.26667,"CK","Chondrite","Stony","Carbonaceous","CV-CK","2",0.064345060252235
"5090",16995,"Iron, ungrouped",3.5,"Found",1900,51.85,107.91667,"Iron","Achondrite","Iron",NA,NA,"8",0.0565394577591197
"6865",24245,"H5",170.6,"Found",1971,-30.75,127.98333,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"4949",16844,"L6",4610,"Found",1880,-34.1,18.46667,"L","Chondrite","Stony","Ordinary","L","0",1
"5713",22682,"Ureilite",22.3,"Found",1984,33.8,-103.25,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,"2",0.064345060252235
"3321",10028,"Mesosiderite",1200,"Found",1981,-57.78667,-90.79333,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"0",1
"5658",22613,"H5",103.3,"Found",1960,50.94,-96.99167,"H","Chondrite","Stony","Ordinary","H","0",1
"4016",11868,"Stone-uncl",367,"Found",1956,24.7,108,"Stony",NA,"Stony",NA,NA,"0",1
"5688",22657,"L6",18.2,"Found",1973,33.71667,-103.65,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5830",23082,"L6",5500,"Fell",1841,46.95,-1.5,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"6655",24037,"OC",2000,"Fell",1824,51.73333,102.53333,"Chondrite","Chondrite","Stony",NA,NA,"8",0.0565394577591197
"6221",23504,"H4",350,"Fell",1908,-19.46667,-44.21667,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5534",18907,"L/LL5",1275,"Fell",1982,32.08333,121.5,"LL","Chondrite","Stony","Ordinary","LL","0",1
"5608",22561,"H5",920,"Found",1978,-30.6,128.48333,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"6736",24129,"Stone-uncl",1500,"Fell",1926,34.48333,133.28333,"Stony",NA,"Stony",NA,NA,"0",1
"7372",34063,"LL6",460,"Fell",1968,19.76667,-100.65,"LL","Chondrite","Stony","Ordinary","LL","1",0.0294975764627465
"2166",6592,"H4",228,"Found",1986,29.58333,11.78333,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"4051",11904,"L5",2420,"Fell",1825,21.3,-157.86667,"L","Chondrite","Stony","Ordinary","L","0",1
"5008",16907,"H6",529,"Fell",1984,32.11667,121.8,"H","Chondrite","Stony","Ordinary","H","0",1
"3335",10044,"L5",20000,"Fell",1889,1.16667,44.16667,"L","Chondrite","Stony","Ordinary","L","0",1
"4017",11869,"H5",3500,"Fell",1922,55.46667,13.78333,"H","Chondrite","Stony","Ordinary","H","0",1
"9",10,"Acapulcoite",1914,"Fell",1976,16.88333,-99.9,"Acapulcoite","Achondrite","Stony","Primitive",NA,"0",1
"5149",17061,"L4",330,"Found",1979,29.91667,-5.58333,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5839",23091,"LL3.3",24.3,"Fell",1919,38.16667,-76.38333,"LL","Chondrite","Stony","Ordinary","LL","0",1
"5583",22401,"L6",230,"Found",1948,39.78333,-100,"L","Chondrite","Stony","Ordinary","L","2",0.064345060252235
"5021",16920,"Iron",18000,"Found",1934,35.96667,-77.96667,"Iron","Achondrite","Iron",NA,NA,"1",0.0294975764627465
